,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
82,0,0.422423035,0.195539147,0.287414789,2023,State,urban/rural,All Households,sector_state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,0.18122828,0.103427418,0.653014839,2023,State,urban/rural,All Households,sector_state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0,0.229305819,0.618136585,0.129397213,2023,State,urban/rural,All Households,sector_state,NA,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0,0.461594582,0.221055239,0.171011552,2023,State,urban/rural,All Households,sector_state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,0.39025563,0.099003799,0.319824964,2023,State,urban/rural,All Households,sector_state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0,0.452392668,0.191879764,0.293395579,2023,State,urban/rural,All Households,sector_state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,0.192602932,0.132380038,0.606283903,2023,State,urban/rural,All Households,sector_state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,0,0.370087355,0.478817403,0.080604933,2023,State,urban/rural,All Households,sector_state,NA,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,0.260768831,0.739231169,0,2023,State,urban/rural,All Households,sector_state,NA,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,0.60349828,0.132306889,0.213557959,2023,State,urban/rural,All Households,sector_state,NA,99,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,0.570617974,0.06422323,0.325459898,2023,State,urban/rural,All Households,sector_state,NA,99,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0,0.563348711,0.083231822,0.270715833,2023,State,urban/rural,All Households,sector_state,NA,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,0.446515411,0.058097843,0.43545565,2023,State,urban/rural,All Households,sector_state,NA,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0,0.408444613,0.123848811,0.375188202,2023,State,urban/rural,All Households,sector_state,NA,99,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,0.339296103,0.131872341,0.479288012,2023,State,urban/rural,All Households,sector_state,NA,99,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0,0.549764037,0.363191456,0.054270122,2023,State,urban/rural,All Households,sector_state,NA,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1,0.712338269,0.195708409,0.059762754,2023,State,urban/rural,All Households,sector_state,NA,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0,0.67504251,0.269333154,0.036747571,2023,State,urban/rural,All Households,sector_state,NA,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
