,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
121,0.406200081,0.177868441,0.030030783,0.22833164,2019,National,urban/rural,Age,indiasector,0,India,NA,NA,65+,NA,NA,NA
122,0.440421015,0.260678262,0.075358853,0.179742753,2019,National,urban/rural,Age,indiasector,0,India,NA,NA,NA,NA,NA,NA
123,0.32079041,0.135139152,0.034839515,0.185651258,2019,National,urban/rural,Age,indiasector,1,India,NA,NA,15 to 29,NA,NA,NA
124,0.185765624,0.071652867,0.016950415,0.114112757,2019,National,urban/rural,Age,indiasector,1,India,NA,NA,30 to 45,NA,NA,NA
125,0.136820257,0.040586699,0.006317971,0.096233558,2019,National,urban/rural,Age,indiasector,1,India,NA,NA,45 to 64,NA,NA,NA
126,0.128013432,0.038975131,0.005075066,0.089038301,2019,National,urban/rural,Age,indiasector,1,India,NA,NA,65+,NA,NA,NA
127,0.148980469,0.027937269,0.002820052,0.1210432,2019,National,urban/rural,Age,indiasector,1,India,NA,NA,NA,NA,NA,NA
128,0.191194549,0.090795733,0,0.100398816,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
129,0.130926073,0.0312865,0.002958208,0.099639573,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
130,0.125996813,0.033837058,0.005619501,0.092159755,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
131,0.171678543,0.04101282,0.006476791,0.130665723,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
132,0.149832174,0,0,0.149832174,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
133,0.341569722,0.126709685,0.012416244,0.214860037,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
134,0.193399608,0.068426587,0.011179163,0.124973021,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
135,0.224214241,0.065773472,0.009182941,0.158440769,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
136,0.297167301,0.086335152,0.00560438,0.210832149,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,65+,NA,NA,NA
137,0.234626964,0,0,0.234626964,2019,State,All,Age,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
138,0.399101377,0.152528167,0.043370247,0.24657321,2019,State,All,Age,state,99,Arunachal Pradesh,NA,NA,15 to 29,NA,NA,NA
139,0.305367678,0.128937423,0.035351031,0.176430255,2019,State,All,Age,state,99,Arunachal Pradesh,NA,NA,30 to 45,NA,NA,NA
