,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
56059,Meghalaya,2022,State,All,Emp Type,17344.16,3,99,All,EmpType,NA,NA,NA,1
10349,Karnataka,2020,State,urban/rural,Sex,17346.17,Total,1,Urban,Gender,1,NA,NA,NA
11039,Karnataka,2020,State,urban/rural,Sex,17346.17,3,1,Urban,Gender,1,NA,NA,NA
21208,Karnataka,2020,State,All,Youth,17346.17,4,99,All,Youth,NA,2,NA,NA
36840,Karnataka,2020,State,urban/rural,CWS Type,17346.17,4,1,Urban,CWSType,NA,NA,2,NA
53213,Karnataka,2020,State,urban/rural,Emp Type,17346.17,5,1,Urban,EmpType,NA,NA,NA,3
10522,Delhi,2020,State,urban/rural,Sex,17347.96,1,0,Rural,Gender,2,NA,NA,NA
34990,Delhi,2020,State,All,CWS Type,17347.96,2,99,All,CWSType,NA,NA,2,NA
36031,Delhi,2020,State,urban/rural,CWS Type,17347.96,1,0,Rural,CWSType,NA,NA,2,NA
3946,Tamil Nadu,2022,State,All,All Households,17351.83,4,99,All,Total,NA,NA,NA,NA
21858,Manipur,2020,State,urban/rural,Youth,17356.69,4,0,Rural,Youth,NA,2,NA,NA
5997,Haryana,2017,State,urban/rural,Sex,17357.2,5,0,Rural,Gender,2,NA,NA,NA
44164,India,2017,National,urban/rural,Emp Type,17357.2,4,0,Rural,EmpType,NA,NA,NA,1
28466,Goa,2017,State,urban/rural,CWS Type,17359.37,Total,0,Rural,CWSType,NA,NA,3,NA
29560,Goa,2017,State,urban/rural,CWS Type,17359.37,3,0,Rural,CWSType,NA,NA,3,NA
13158,Meghalaya,2022,State,urban/rural,Sex,17359.65,Total,1,Urban,Gender,1,NA,NA,NA
58540,Goa,2023,State,All,Emp Type,17360.8,2,99,All,EmpType,NA,NA,NA,1
12012,Uttar Pradesh,2021,State,urban/rural,Sex,17370.8,5,0,Rural,Gender,1,NA,NA,NA
58621,Puducherry,2023,State,All,Emp Type,17370.8,5,99,All,EmpType,NA,NA,NA,3
14735,Jammu and Kashmir,2023,State,urban/rural,Sex,17373.32,3,1,Urban,Gender,1,NA,NA,NA
43824,Andhra Pradesh,2023,State,urban/rural,CWS Type,17373.32,4,1,Urban,CWSType,NA,NA,2,NA
17564,Arunachal Pradesh,2018,State,All,Youth,17373.56,3,99,All,Youth,NA,2,NA,NA
31816,Gujarat,2018,State,urban/rural,CWS Type,17376.58,3,1,Urban,CWSType,NA,NA,2,NA
47027,Chhattisgarh,2018,State,All,Emp Type,17376.96,5,99,All,EmpType,NA,NA,NA,2
9806,Goa,2020,State,All,Sex,17378.75,Total,99,All,Gender,2,NA,NA,NA
10160,Goa,2020,State,All,Sex,17378.75,3,99,All,Gender,2,NA,NA,NA
10354,Goa,2020,State,urban/rural,Sex,17378.75,Total,1,Urban,Gender,2,NA,NA,NA
11064,Goa,2020,State,urban/rural,Sex,17378.75,3,1,Urban,Gender,2,NA,NA,NA
53239,Goa,2020,State,urban/rural,Emp Type,17378.75,2,1,Urban,EmpType,NA,NA,NA,2
7371,Telangana,2018,State,urban/rural,Sex,17379.59,Total,1,Urban,Gender,1,NA,NA,NA
47533,Telangana,2018,State,urban/rural,Emp Type,17379.59,Total,1,Urban,EmpType,NA,NA,NA,1
56683,Jammu and Kashmir,2022,State,urban/rural,Emp Type,17380.31,3,1,Urban,EmpType,NA,NA,NA,2
15465,Tamil Nadu,2023,State,urban/rural,Sex,17382.38,3,1,Urban,Gender,1,NA,NA,NA
44003,Tamil Nadu,2023,State,urban/rural,CWS Type,17382.38,3,1,Urban,CWSType,NA,NA,3,NA
42035,Delhi,2023,State,All,CWS Type,17383.52,3,99,All,CWSType,NA,NA,2,NA
21093,West Bengal,2020,State,All,Youth,17386.83,5,99,All,Youth,NA,2,NA,NA
28707,Haryana,2017,State,urban/rural,CWS Type,17386.83,4,0,Rural,CWSType,NA,NA,1,NA
26258,Andaman and Nicobar Island,2023,State,All,Youth,17388.61,4,99,All,Youth,NA,1,NA,NA
42839,Andaman and Nicobar Island,2023,State,urban/rural,CWS Type,17388.61,Total,0,Rural,CWSType,NA,NA,2,NA
25004,Uttar Pradesh,2022,State,urban/rural,Youth,17390.84,5,0,Rural,Youth,NA,2,NA,NA
58959,Jammu and Kashmir,2023,State,urban/rural,Emp Type,17391.46,3,1,Urban,EmpType,NA,NA,NA,1
16003,Gujarat,2017,State,All,Youth,17400.54,4,99,All,Youth,NA,2,NA,NA
26233,Tamil Nadu,2023,State,All,Youth,17400.54,4,99,All,Youth,NA,2,NA,NA
35245,Jharkhand,2020,State,All,CWS Type,17400.54,5,99,All,CWSType,NA,NA,2,NA
51714,Odisha,2020,State,All,Emp Type,17408.24,5,99,All,EmpType,NA,NA,NA,2
41891,Karnataka,2023,State,All,CWS Type,17409.64,Total,99,All,CWSType,NA,NA,3,NA
39701,Bihar,2022,State,All,CWS Type,17410.92,4,99,All,CWSType,NA,NA,3,NA
43430,Meghalaya,2023,State,urban/rural,CWS Type,17410.92,4,0,Rural,CWSType,NA,NA,3,NA
10197,Tamil Nadu,2020,State,All,Sex,17411.46,4,99,All,Gender,1,NA,NA,NA
10632,Sikkim,2020,State,urban/rural,Sex,17411.46,3,1,Urban,Gender,2,NA,NA,NA
34779,Sikkim,2020,State,All,CWS Type,17411.46,Total,99,All,CWSType,NA,NA,2,NA
52615,Sikkim,2020,State,urban/rural,Emp Type,17411.46,2,1,Urban,EmpType,NA,NA,NA,3
5830,Maharashtra,2017,State,urban/rural,Sex,17414.19,Total,1,Urban,Gender,1,NA,NA,NA
6480,Maharashtra,2017,State,urban/rural,Sex,17414.19,3,1,Urban,Gender,1,NA,NA,NA
28023,Gujarat,2017,State,All,CWS Type,17414.19,4,99,All,CWSType,NA,NA,2,NA
44005,Tamil Nadu,2023,State,urban/rural,CWS Type,17416.39,4,1,Urban,CWSType,NA,NA,2,NA
42396,Maharashtra,2023,State,All,CWS Type,17416.6,3,99,All,CWSType,NA,NA,3,NA
10241,Jammu and Kashmir,2020,State,urban/rural,Sex,17416.85,Total,1,Urban,Gender,1,NA,NA,NA
10395,Jammu and Kashmir,2020,State,urban/rural,Sex,17416.85,3,1,Urban,Gender,1,NA,NA,NA
50971,Kerala,2019,State,urban/rural,Emp Type,17418.96,4,0,Rural,EmpType,NA,NA,NA,2
32977,Goa,2019,State,All,CWS Type,17422.88,4,99,All,CWSType,NA,NA,1,NA
25682,India,2023,National,All,Youth,17427.86,5,99,All,Youth,NA,1,NA,NA
26219,Kerala,2023,State,All,Youth,17427.86,4,99,All,Youth,NA,1,NA,NA
27261,Kerala,2023,State,urban/rural,Youth,17427.86,4,1,Urban,Youth,NA,1,NA,NA
55844,Chandigarh,2022,State,All,Emp Type,17427.86,5,99,All,EmpType,NA,NA,NA,3
56791,Chandigarh,2022,State,urban/rural,Emp Type,17427.86,5,1,Urban,EmpType,NA,NA,NA,3
3594,Madhya Pradesh,2021,State,urban/rural,All Households,17430.4,5,0,Rural,Total,NA,NA,NA,NA
54540,Himachal Pradesh,2021,State,urban/rural,Emp Type,17430.4,5,0,Rural,EmpType,NA,NA,NA,2
52050,Sikkim,2020,State,urban/rural,Emp Type,17433.34,Total,1,Urban,EmpType,NA,NA,NA,2
42627,Delhi,2023,State,urban/rural,CWS Type,17434.71,Total,1,Urban,CWSType,NA,NA,2,NA
43075,Delhi,2023,State,urban/rural,CWS Type,17434.71,3,1,Urban,CWSType,NA,NA,2,NA
10251,Chandigarh,2020,State,urban/rural,Sex,17440.46,Total,0,Rural,Gender,1,NA,NA,NA
10455,Chandigarh,2020,State,urban/rural,Sex,17440.46,3,0,Rural,Gender,1,NA,NA,NA
21182,Maharashtra,2020,State,All,Youth,17440.46,4,99,All,Youth,NA,2,NA,NA
21323,Chandigarh,2020,State,urban/rural,Youth,17440.46,Total,0,Rural,Youth,NA,2,NA,NA
21671,Delhi,2020,State,urban/rural,Youth,17440.46,1,0,Rural,Youth,NA,2,NA,NA
34712,India,2020,National,urban/rural,CWS Type,17440.46,5,0,Rural,CWSType,NA,NA,1,NA
34792,Manipur,2020,State,All,CWS Type,17440.46,Total,99,All,CWSType,NA,NA,3,NA
34978,Haryana,2020,State,All,CWS Type,17440.46,4,99,All,CWSType,NA,NA,2,NA
35126,Manipur,2020,State,All,CWS Type,17440.46,3,99,All,CWSType,NA,NA,3,NA
35358,Maharashtra,2020,State,All,CWS Type,17440.46,5,99,All,CWSType,NA,NA,1,NA
35561,Chandigarh,2020,State,urban/rural,CWS Type,17440.46,Total,0,Rural,CWSType,NA,NA,3,NA
35760,Goa,2020,State,urban/rural,CWS Type,17440.46,Total,0,Rural,CWSType,NA,NA,2,NA
35933,Chandigarh,2020,State,urban/rural,CWS Type,17440.46,3,0,Rural,CWSType,NA,NA,3,NA
36747,Maharashtra,2020,State,urban/rural,CWS Type,17440.46,5,0,Rural,CWSType,NA,NA,1,NA
51800,Maharashtra,2020,State,All,Emp Type,17440.46,4,99,All,EmpType,NA,NA,NA,2
51989,Chandigarh,2020,State,urban/rural,Emp Type,17440.46,Total,0,Rural,EmpType,NA,NA,NA,1
42360,Gujarat,2023,State,All,CWS Type,17441.72,4,99,All,CWSType,NA,NA,2,NA
27248,Kerala,2023,State,urban/rural,Youth,17441.99,4,0,Rural,Youth,NA,1,NA,NA
11443,Sikkim,2021,State,All,Sex,17443.74,4,99,All,Gender,2,NA,NA,NA
37143,India,2021,National,urban/rural,CWS Type,17443.74,5,0,Rural,CWSType,NA,NA,2,NA
60020,Tamil Nadu,2023,State,urban/rural,Emp Type,17446.12,5,1,Urban,EmpType,NA,NA,NA,3
26450,Lakshadweep,2023,State,urban/rural,Youth,17451.22,Total,0,Rural,Youth,NA,2,NA,NA
27227,Lakshadweep,2023,State,urban/rural,Youth,17451.22,3,0,Rural,Youth,NA,2,NA,NA
51007,Tamil Nadu,2019,State,urban/rural,Emp Type,17451.22,4,0,Rural,EmpType,NA,NA,NA,1
59514,Assam,2023,State,urban/rural,Emp Type,17453.05,5,0,Rural,EmpType,NA,NA,NA,2
30711,Haryana,2018,State,urban/rural,CWS Type,17453.83,Total,0,Rural,CWSType,NA,NA,3,NA
4105,Haryana,2022,State,urban/rural,All Households,17455.27,3,1,Urban,Total,NA,NA,NA,NA
40261,Arunachal Pradesh,2022,State,urban/rural,CWS Type,17455.27,Total,1,Urban,CWSType,NA,NA,2,NA
45729,Mizoram,2017,State,urban/rural,Emp Type,17455.27,3,1,Urban,EmpType,NA,NA,NA,2
4506,Jammu and Kashmir,2023,State,All,All Households,17460.2,4,99,All,Total,NA,NA,NA,NA
9837,Himachal Pradesh,2020,State,All,Sex,17462.77,4,99,All,Gender,1,NA,NA,NA
31203,Rajasthan,2018,State,urban/rural,CWS Type,17463.66,4,0,Rural,CWSType,NA,NA,3,NA
31909,Andhra Pradesh,2018,State,urban/rural,CWS Type,17463.66,4,0,Rural,CWSType,NA,NA,3,NA
26506,Jammu and Kashmir,2023,State,urban/rural,Youth,17464.42,5,1,Urban,Youth,NA,1,NA,NA
41700,Telangana,2022,State,urban/rural,CWS Type,17464.96,3,1,Urban,CWSType,NA,NA,2,NA
52089,Tripura,2020,State,urban/rural,Emp Type,17466.25,Total,1,Urban,EmpType,NA,NA,NA,1
52787,Tripura,2020,State,urban/rural,Emp Type,17466.25,3,1,Urban,EmpType,NA,NA,NA,1
52791,Tripura,2020,State,urban/rural,Emp Type,17466.25,4,1,Urban,EmpType,NA,NA,NA,2
58286,Manipur,2023,State,All,Emp Type,17467.4,5,99,All,EmpType,NA,NA,NA,2
4438,Telangana,2022,State,urban/rural,All Households,17470.83,4,0,Rural,Total,NA,NA,NA,NA
41042,Meghalaya,2022,State,urban/rural,CWS Type,17470.83,4,0,Rural,CWSType,NA,NA,3,NA
12672,Kerala,2022,State,All,Sex,17474.66,Total,99,All,Gender,1,NA,NA,NA
40413,Kerala,2022,State,urban/rural,CWS Type,17474.66,Total,1,Urban,CWSType,NA,NA,2,NA
41553,Kerala,2022,State,urban/rural,CWS Type,17474.66,3,1,Urban,CWSType,NA,NA,2,NA
56621,Kerala,2022,State,urban/rural,Emp Type,17474.66,Total,1,Urban,EmpType,NA,NA,NA,1
57686,Kerala,2022,State,urban/rural,Emp Type,17474.66,3,1,Urban,EmpType,NA,NA,NA,1
54174,Kerala,2021,State,All,Emp Type,17475.2,4,99,All,EmpType,NA,NA,NA,3
56581,Maharashtra,2022,State,urban/rural,Emp Type,17475.87,Total,1,Urban,EmpType,NA,NA,NA,1
2604,Telangana,2020,State,urban/rural,All Households,17477.25,Total,1,Urban,Total,NA,NA,NA,NA
3021,Telangana,2020,State,urban/rural,All Households,17477.25,3,1,Urban,Total,NA,NA,NA,NA
24287,Arunachal Pradesh,2022,State,All,Youth,17480.65,5,99,All,Youth,NA,1,NA,NA
25080,Arunachal Pradesh,2022,State,urban/rural,Youth,17480.65,4,0,Rural,Youth,NA,2,NA,NA
40851,Arunachal Pradesh,2022,State,urban/rural,CWS Type,17480.65,4,0,Rural,CWSType,NA,NA,2,NA
55982,Arunachal Pradesh,2022,State,All,Emp Type,17480.65,5,99,All,EmpType,NA,NA,NA,3
57047,Arunachal Pradesh,2022,State,urban/rural,Emp Type,17480.65,5,0,Rural,EmpType,NA,NA,NA,3
38362,Delhi,2021,State,urban/rural,CWS Type,17481.57,1,0,Rural,CWSType,NA,NA,3,NA
42667,Arunachal Pradesh,2023,State,urban/rural,CWS Type,17482.75,Total,1,Urban,CWSType,NA,NA,2,NA
43257,Arunachal Pradesh,2023,State,urban/rural,CWS Type,17482.75,3,1,Urban,CWSType,NA,NA,2,NA
59844,Andhra Pradesh,2023,State,urban/rural,Emp Type,17482.75,5,1,Urban,EmpType,NA,NA,NA,3
3339,Jammu and Kashmir,2021,State,urban/rural,All Households,17485.7,4,0,Rural,Total,NA,NA,NA,NA
36191,Sikkim,2020,State,urban/rural,CWS Type,17488.26,2,1,Urban,CWSType,NA,NA,2,NA
52617,Sikkim,2020,State,urban/rural,Emp Type,17488.26,3,1,Urban,EmpType,NA,NA,NA,2
31134,Haryana,2018,State,urban/rural,CWS Type,17488.59,3,0,Rural,CWSType,NA,NA,3,NA
25961,Sikkim,2023,State,All,Youth,17489.58,4,99,All,Youth,NA,2,NA,NA
13036,Kerala,2022,State,All,Sex,17490.48,3,99,All,Gender,1,NA,NA,NA
25451,Andhra Pradesh,2022,State,urban/rural,Youth,17490.48,5,0,Rural,Youth,NA,1,NA,NA
42434,Karnataka,2023,State,All,CWS Type,17491.94,3,99,All,CWSType,NA,NA,3,NA
32676,Nagaland,2019,State,All,CWS Type,17494.42,5,99,All,CWSType,NA,NA,1,NA
33822,Nagaland,2019,State,urban/rural,CWS Type,17494.42,5,0,Rural,CWSType,NA,NA,1,NA
51081,Andaman and Nicobar Island,2019,State,urban/rural,Emp Type,17494.42,4,0,Rural,EmpType,NA,NA,NA,3
25988,Nagaland,2023,State,All,Youth,17496.22,5,99,All,Youth,NA,1,NA,NA
26791,Nagaland,2023,State,urban/rural,Youth,17496.22,5,0,Rural,Youth,NA,1,NA,NA
3321,Karnataka,2021,State,urban/rural,All Households,17496.53,Total,1,Urban,Total,NA,NA,NA,NA
54437,Goa,2021,State,urban/rural,Emp Type,17496.53,Total,1,Urban,EmpType,NA,NA,NA,1
55430,Goa,2021,State,urban/rural,Emp Type,17496.53,3,1,Urban,EmpType,NA,NA,NA,1
30004,Andaman and Nicobar Island,2018,State,All,CWS Type,17498.78,Total,99,All,CWSType,NA,NA,2,NA
21767,Bihar,2020,State,urban/rural,Youth,17499.29,4,1,Urban,Youth,NA,2,NA,NA
22376,Andaman and Nicobar Island,2020,State,urban/rural,Youth,17499.29,2,1,Urban,Youth,NA,2,NA,NA
11052,Goa,2020,State,urban/rural,Sex,17505.25,3,0,Rural,Gender,2,NA,NA,NA
25132,Manipur,2022,State,urban/rural,Youth,17505.25,4,0,Rural,Youth,NA,2,NA,NA
35412,Goa,2020,State,All,CWS Type,17505.25,4,99,All,CWSType,NA,NA,1,NA
51835,Karnataka,2020,State,All,Emp Type,17505.25,4,99,All,EmpType,NA,NA,NA,2
278,Haryana,2017,State,urban/rural,All Households,17508.12,Total,1,Urban,Total,NA,NA,NA,NA
50503,Assam,2019,State,urban/rural,Emp Type,17509.12,4,0,Rural,EmpType,NA,NA,NA,1
35486,Puducherry,2020,State,All,CWS Type,17510.33,3,99,All,CWSType,NA,NA,3,NA
52551,Uttar Pradesh,2020,State,urban/rural,Emp Type,17510.33,4,1,Urban,EmpType,NA,NA,NA,2
30278,Mizoram,2018,State,All,CWS Type,17513.59,2,99,All,CWSType,NA,NA,3,NA
2362,Delhi,2020,State,All,All Households,17514.28,2,99,All,Total,NA,NA,NA,NA
2684,Delhi,2020,State,urban/rural,All Households,17514.28,2,1,Urban,Total,NA,NA,NA,NA
4033,Andaman and Nicobar Island,2022,State,urban/rural,All Households,17514.29,Total,0,Rural,Total,NA,NA,NA,NA
41649,Andaman and Nicobar Island,2022,State,urban/rural,CWS Type,17514.29,3,0,Rural,CWSType,NA,NA,3,NA
58845,Gujarat,2023,State,urban/rural,Emp Type,17515.35,Total,1,Urban,EmpType,NA,NA,NA,2
47445,Gujarat,2018,State,urban/rural,Emp Type,17515.59,Total,1,Urban,EmpType,NA,NA,NA,1
42993,Uttrakhand,2023,State,urban/rural,CWS Type,17518.01,5,0,Rural,CWSType,NA,NA,1,NA
5365,Uttrakhand,2017,State,All,Sex,17518.81,5,99,All,Gender,2,NA,NA,NA
2525,Andaman and Nicobar Island,2020,State,All,All Households,17521.38,3,99,All,Total,NA,NA,NA,NA
53411,Andaman and Nicobar Island,2020,State,urban/rural,Emp Type,17521.38,3,1,Urban,EmpType,NA,NA,NA,2
49481,Goa,2019,State,All,Emp Type,17524.45,5,99,All,EmpType,NA,NA,NA,3
50911,Goa,2019,State,urban/rural,Emp Type,17524.45,5,0,Rural,EmpType,NA,NA,NA,3
49937,Himachal Pradesh,2019,State,urban/rural,Emp Type,17524.75,3,1,Urban,EmpType,NA,NA,NA,2
1221,Sikkim,2018,State,urban/rural,All Households,17526.13,3,1,Urban,Total,NA,NA,NA,NA
35920,Punjab,2020,State,urban/rural,CWS Type,17526.13,4,1,Urban,CWSType,NA,NA,2,NA
49869,Telangana,2019,State,urban/rural,Emp Type,17526.13,Total,1,Urban,EmpType,NA,NA,NA,1
51130,Telangana,2019,State,urban/rural,Emp Type,17526.13,3,1,Urban,EmpType,NA,NA,NA,1
35146,Mizoram,2020,State,All,CWS Type,17526.96,4,99,All,CWSType,NA,NA,1,NA
36327,Mizoram,2020,State,urban/rural,CWS Type,17526.96,4,0,Rural,CWSType,NA,NA,1,NA
57515,Maharashtra,2022,State,urban/rural,Emp Type,17527.61,3,1,Urban,EmpType,NA,NA,NA,1
56638,Puducherry,2022,State,urban/rural,Emp Type,17535.47,Total,1,Urban,EmpType,NA,NA,NA,2
57758,Puducherry,2022,State,urban/rural,Emp Type,17535.47,3,1,Urban,EmpType,NA,NA,NA,2
58933,Telangana,2023,State,urban/rural,Emp Type,17535.74,Total,1,Urban,EmpType,NA,NA,NA,2
60117,Telangana,2023,State,urban/rural,Emp Type,17535.74,3,1,Urban,EmpType,NA,NA,NA,2
32732,Tripura,2019,State,All,CWS Type,17537.99,4,99,All,CWSType,NA,NA,3,NA
32973,Goa,2019,State,All,CWS Type,17537.99,2,99,All,CWSType,NA,NA,3,NA
34438,Goa,2019,State,urban/rural,CWS Type,17537.99,2,1,Urban,CWSType,NA,NA,3,NA
50444,Tripura,2019,State,urban/rural,Emp Type,17537.99,3,1,Urban,EmpType,NA,NA,NA,1
39511,Kerala,2022,State,All,CWS Type,17539.63,Total,99,All,CWSType,NA,NA,3,NA
43988,Tamil Nadu,2023,State,urban/rural,CWS Type,17541.46,5,0,Rural,CWSType,NA,NA,1,NA
2756,Nagaland,2020,State,urban/rural,All Households,17543.53,2,1,Urban,Total,NA,NA,NA,NA
21841,Nagaland,2020,State,urban/rural,Youth,17543.53,2,1,Urban,Youth,NA,2,NA,NA
7613,Sikkim,2018,State,urban/rural,Sex,17544.05,4,0,Rural,Gender,1,NA,NA,NA
34050,West Bengal,2019,State,urban/rural,CWS Type,17544.05,5,0,Rural,CWSType,NA,NA,3,NA
41155,Jharkhand,2022,State,urban/rural,CWS Type,17545.51,4,0,Rural,CWSType,NA,NA,3,NA
11180,Andaman and Nicobar Island,2020,State,urban/rural,Sex,17548.6,2,1,Urban,Gender,1,NA,NA,NA
15873,Manipur,2017,State,All,Youth,17548.71,4,99,All,Youth,NA,2,NA,NA
15146,West Bengal,2023,State,urban/rural,Sex,17550.53,5,0,Rural,Gender,1,NA,NA,NA
44057,Andaman and Nicobar Island,2023,State,urban/rural,CWS Type,17550.53,3,0,Rural,CWSType,NA,NA,2,NA
60070,Andaman and Nicobar Island,2023,State,urban/rural,Emp Type,17550.53,4,0,Rural,EmpType,NA,NA,NA,3
28214,Andaman and Nicobar Island,2017,State,All,CWS Type,17551.23,5,99,All,CWSType,NA,NA,1,NA
29743,Andaman and Nicobar Island,2017,State,urban/rural,CWS Type,17551.23,5,0,Rural,CWSType,NA,NA,1,NA
52932,Jharkhand,2020,State,urban/rural,Emp Type,17554.63,4,1,Urban,EmpType,NA,NA,NA,2
29845,India,2018,National,urban/rural,CWS Type,17555.72,5,0,Rural,CWSType,NA,NA,1,NA
53178,Andhra Pradesh,2020,State,urban/rural,Emp Type,17556.48,5,1,Urban,EmpType,NA,NA,NA,3
18842,Lakshadweep,2018,State,urban/rural,Youth,17557.19,2,1,Urban,Youth,NA,2,NA,NA
47156,Lakshadweep,2018,State,All,Emp Type,17557.19,2,99,All,EmpType,NA,NA,NA,1
2968,Kerala,2020,State,urban/rural,All Households,17559.61,4,0,Rural,Total,NA,NA,NA,NA
26288,Himachal Pradesh,2023,State,urban/rural,Youth,17562.47,Total,1,Urban,Youth,NA,2,NA,NA
55544,Telangana,2021,State,urban/rural,Emp Type,17566.65,4,0,Rural,EmpType,NA,NA,NA,2
20637,Puducherry,2019,State,urban/rural,Youth,17573.69,3,1,Urban,Youth,NA,1,NA,NA
42514,Tamil Nadu,2023,State,All,CWS Type,17577.81,5,99,All,CWSType,NA,NA,1,NA
58599,Tamil Nadu,2023,State,All,Emp Type,17577.81,4,99,All,EmpType,NA,NA,NA,2
6765,Arunachal Pradesh,2018,State,All,Sex,17578.1,Total,99,All,Gender,1,NA,NA,NA
6949,Arunachal Pradesh,2018,State,All,Sex,17578.1,3,99,All,Gender,1,NA,NA,NA
42304,Odisha,2023,State,All,CWS Type,17578.46,4,99,All,CWSType,NA,NA,3,NA
36822,Karnataka,2020,State,urban/rural,CWS Type,17581.46,4,0,Rural,CWSType,NA,NA,3,NA
9420,Madhya Pradesh,2019,State,urban/rural,Sex,17585.62,4,1,Urban,Gender,1,NA,NA,NA
19944,Haryana,2019,State,urban/rural,Youth,17585.62,3,1,Urban,Youth,NA,2,NA,NA
33345,Kerala,2019,State,urban/rural,CWS Type,17585.62,Total,1,Urban,CWSType,NA,NA,3,NA
49488,Lakshadweep,2019,State,All,Emp Type,17585.62,2,99,All,EmpType,NA,NA,NA,1
50948,Lakshadweep,2019,State,urban/rural,Emp Type,17585.62,2,1,Urban,EmpType,NA,NA,NA,1
22276,Lakshadweep,2020,State,urban/rural,Youth,17588,2,1,Urban,Youth,NA,2,NA,NA
35426,Lakshadweep,2020,State,All,CWS Type,17588,2,99,All,CWSType,NA,NA,2,NA
36897,Lakshadweep,2020,State,urban/rural,CWS Type,17588,2,1,Urban,CWSType,NA,NA,2,NA
39251,Kerala,2021,State,urban/rural,CWS Type,17588.93,5,1,Urban,CWSType,NA,NA,1,NA
48057,Tripura,2018,State,urban/rural,Emp Type,17590.83,3,0,Rural,EmpType,NA,NA,NA,1
42820,Kerala,2023,State,urban/rural,CWS Type,17593.58,Total,1,Urban,CWSType,NA,NA,3,NA
31018,Himachal Pradesh,2018,State,urban/rural,CWS Type,17595.72,5,1,Urban,CWSType,NA,NA,1,NA
15336,Andhra Pradesh,2023,State,urban/rural,Sex,17596.04,4,0,Rural,Gender,1,NA,NA,NA
10970,Daman & Diu,2020,State,urban/rural,Sex,17597.56,4,1,Urban,Gender,2,NA,NA,NA
35797,Puducherry,2020,State,urban/rural,CWS Type,17599.16,Total,1,Urban,CWSType,NA,NA,3,NA
37013,Puducherry,2020,State,urban/rural,CWS Type,17599.16,3,1,Urban,CWSType,NA,NA,3,NA
51248,Sikkim,2020,State,All,Emp Type,17599.16,Total,99,All,EmpType,NA,NA,NA,1
34491,Kerala,2019,State,urban/rural,CWS Type,17603.35,4,0,Rural,CWSType,NA,NA,2,NA
51358,Jammu and Kashmir,2020,State,All,Emp Type,17603.35,4,99,All,EmpType,NA,NA,NA,2
52259,Jammu and Kashmir,2020,State,urban/rural,Emp Type,17603.35,5,0,Rural,EmpType,NA,NA,NA,3
25866,Chandigarh,2023,State,All,Youth,17606.26,2,99,All,Youth,NA,2,NA,NA
26566,Chandigarh,2023,State,urban/rural,Youth,17606.26,2,1,Urban,Youth,NA,2,NA,NA
58104,Chandigarh,2023,State,All,Emp Type,17606.26,2,99,All,EmpType,NA,NA,NA,2
59044,Chandigarh,2023,State,urban/rural,Emp Type,17606.26,2,1,Urban,EmpType,NA,NA,NA,2
8872,Andaman and Nicobar Island,2019,State,urban/rural,Sex,17609.53,Total,1,Urban,Gender,2,NA,NA,NA
34685,India,2020,National,All,CWS Type,17610.32,5,99,All,CWSType,NA,NA,1,NA
43965,Kerala,2023,State,urban/rural,CWS Type,17612.19,3,1,Urban,CWSType,NA,NA,3,NA
13334,Uttrakhand,2022,State,urban/rural,Sex,17614.32,4,0,Rural,Gender,1,NA,NA,NA
25477,Karnataka,2022,State,urban/rural,Youth,17614.32,5,0,Rural,Youth,NA,1,NA,NA
25652,Telangana,2022,State,urban/rural,Youth,17614.32,4,0,Rural,Youth,NA,2,NA,NA
55770,Andaman and Nicobar Island,2022,State,All,Emp Type,17614.32,Total,99,All,EmpType,NA,NA,NA,2
13863,Karnataka,2022,State,urban/rural,Sex,17618.54,4,0,Rural,Gender,1,NA,NA,NA
56337,Puducherry,2022,State,All,Emp Type,17618.54,5,99,All,EmpType,NA,NA,NA,3
41270,Madhya Pradesh,2022,State,urban/rural,CWS Type,17619.31,5,0,Rural,CWSType,NA,NA,1,NA
610,Madhya Pradesh,2017,State,urban/rural,All Households,17621.5,4,1,Urban,Total,NA,NA,NA,NA
26529,Himachal Pradesh,2023,State,urban/rural,Youth,17621.5,3,1,Urban,Youth,NA,2,NA,NA
27062,Madhya Pradesh,2023,State,urban/rural,Youth,17621.5,4,1,Urban,Youth,NA,2,NA,NA
34508,Kerala,2019,State,urban/rural,CWS Type,17621.5,3,1,Urban,CWSType,NA,NA,3,NA
40082,Kerala,2022,State,All,CWS Type,17621.5,3,99,All,CWSType,NA,NA,3,NA
50990,Kerala,2019,State,urban/rural,Emp Type,17621.5,4,1,Urban,EmpType,NA,NA,NA,3
59703,Madhya Pradesh,2023,State,urban/rural,Emp Type,17621.5,4,1,Urban,EmpType,NA,NA,NA,2
27892,Meghalaya,2017,State,All,CWS Type,17626.99,5,99,All,CWSType,NA,NA,1,NA
57825,Telangana,2022,State,urban/rural,Emp Type,17631.5,2,1,Urban,EmpType,NA,NA,NA,1
3843,Manipur,2022,State,All,All Households,17632.63,4,99,All,Total,NA,NA,NA,NA
4305,Madhya Pradesh,2022,State,urban/rural,All Households,17634.79,5,0,Rural,Total,NA,NA,NA,NA
52674,Nagaland,2020,State,urban/rural,Emp Type,17634.92,5,0,Rural,EmpType,NA,NA,NA,2
27836,Manipur,2017,State,All,CWS Type,17636.29,5,99,All,CWSType,NA,NA,2,NA
