statenumber,state,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,type,sector,level,area,year,dem,yr
23,Madhya Pradesh,0.572773397,0.545104861,0.246937841,0.048306312,0.31415087,0.320568442,0.045320749,State+AllSectors+All,99,state,All,2022,All,2022
23,Madhya Pradesh,0.508999884,0.48301506,0.116961695,0.051050827,0.285603493,0.246896639,0.044524159,State+Urban+All,1,state,urban/rural,2023,All,2023
23,Madhya Pradesh,0.61177808,0.594622076,0.272367388,0.028042844,0.277495354,0.390901774,0.02814636,State+AllSectors+All,99,state,All,2023,All,2023
23,Madhya Pradesh,0.60530901,0.581261456,0.288447022,0.039727699,0.312085181,0.368626803,0.03928224,State+Urban+All,0,state,urban/rural,2022,All,2022
23,Madhya Pradesh,0.479802459,0.441786706,0.09087766,0.079232097,0.320182055,0.185175076,0.079186641,State+Urban+All,1,state,urban/rural,2022,All,2022
27,Maharashtra,0.519683301,0.486231655,0.042942077,0.064369239,0.255254835,0.269871861,0.079331025,State+Urban+All,1,state,urban/rural,2022,All,2022
27,Maharashtra,0.530991673,0.494394124,0.050061513,0.068923064,0.246239498,0.28497687,0.075139187,State+Urban+All,1,state,urban/rural,2023,All,2023
27,Maharashtra,0.575214446,0.546299696,0.148536742,0.050267737,0.240619823,0.375833869,0.046102285,State+AllSectors+All,99,state,All,2023,All,2023
27,Maharashtra,0.628555596,0.600932539,0.224563926,0.043946818,0.253017783,0.474134207,0.023731695,State+Urban+All,0,state,urban/rural,2022,All,2022
27,Maharashtra,0.608268976,0.585096836,0.210732073,0.038095225,0.236161709,0.441891104,0.032487638,State+Urban+All,0,state,urban/rural,2023,All,2023
27,Maharashtra,0.582427621,0.552335083,0.156822309,0.051667415,0.253988862,0.388222158,0.039987657,State+AllSectors+All,99,state,All,2022,All,2022
14,Manipur,0.501978397,0.475111395,0.058596738,0.053522203,0.187571347,0.342469335,0.035718724,State+Urban+All,1,state,urban/rural,2022,All,2022
14,Manipur,0.510890186,0.486666322,0.083389416,0.047415063,0.238700211,0.313618302,0.046017244,State+AllSectors+All,99,state,All,2022,All,2022
14,Manipur,0.514472902,0.49131161,0.093027882,0.045019507,0.256769896,0.302001119,0.050719742,State+Urban+All,0,state,urban/rural,2022,All,2022
14,Manipur,0.564751446,0.524533987,0.070805699,0.071212657,0.199025527,0.449388683,0.087755702,State+Urban+All,1,state,urban/rural,2023,All,2023
14,Manipur,0.593177915,0.564634204,0.110057056,0.048119999,0.183202505,0.477174699,0.047846511,State+Urban+All,0,state,urban/rural,2023,All,2023
14,Manipur,0.584790409,0.552802205,0.099067777,0.05470024,0.187764511,0.468896121,0.059242412,State+AllSectors+All,99,state,All,2023,All,2023
17,Meghalaya,0.698047578,0.654824436,0.138289213,0.061920065,0.201010808,0.605546296,0.085126221,State+AllSectors+All,99,state,All,2022,All,2022
17,Meghalaya,0.578335702,0.496830463,0.037806291,0.140930682,0.179577023,0.476793766,0.207079917,State+Urban+All,1,state,urban/rural,2023,All,2023
17,Meghalaya,0.760546148,0.712618232,0.083457448,0.063017771,0.144976333,0.701922655,0.084217466,State+AllSectors+All,99,state,All,2023,All,2023
17,Meghalaya,0.538380742,0.471069157,0.023362894,0.125026003,0.197923109,0.400338858,0.185770676,State+Urban+All,1,state,urban/rural,2022,All,2022
17,Meghalaya,0.733729303,0.695889354,0.155675024,0.051572096,0.201710895,0.655707181,0.070105873,State+Urban+All,0,state,urban/rural,2022,All,2022
17,Meghalaya,0.797764361,0.756694973,0.08957985,0.051480643,0.137791321,0.749868512,0.067580089,State+Urban+All,0,state,urban/rural,2023,All,2023
15,Mizoram,0.557470083,0.549700677,0.21743232,0.013936922,0.100326136,0.427512169,0.011616596,State+Urban+All,0,state,urban/rural,2023,All,2023
15,Mizoram,0.588115275,0.5812971,0.234604388,0.011593265,0.097878255,0.47898072,0.014555641,State+Urban+All,0,state,urban/rural,2022,All,2022
15,Mizoram,0.525992215,0.507036328,0.100993007,0.036038321,0.098766878,0.408180803,0.042966682,State+Urban+All,1,state,urban/rural,2023,All,2023
15,Mizoram,0.54306376,0.530174673,0.16646786,0.023733988,0.099606954,0.418367893,0.026084982,State+AllSectors+All,99,state,All,2023,All,2023
15,Mizoram,0.536098897,0.517294705,0.115451783,0.035076004,0.095074929,0.420180768,0.04867116,State+Urban+All,1,state,urban/rural,2022,All,2022
15,Mizoram,0.56381613,0.551398754,0.182385638,0.022023806,0.096565433,0.450692832,0.029857034,State+AllSectors+All,99,state,All,2022,All,2022
13,Nagaland,0.706935346,0.67459625,0.216379285,0.045745477,0.19863537,0.619024098,0.039595608,State+AllSectors+All,99,state,All,2022,All,2022
13,Nagaland,0.606189847,0.553317189,0.078580432,0.087221287,0.230844975,0.489801854,0.088929527,State+Urban+All,1,state,urban/rural,2022,All,2022
13,Nagaland,0.717847824,0.663227737,0.144028068,0.076088704,0.266195804,0.615405738,0.076309092,State+AllSectors+All,99,state,All,2023,All,2023
13,Nagaland,0.62934345,0.555123389,0.041229013,0.117932536,0.240542546,0.504466176,0.124731436,State+Urban+All,1,state,urban/rural,2023,All,2023
13,Nagaland,0.753657281,0.706967413,0.176687747,0.061951023,0.279316574,0.658738673,0.061824817,State+Urban+All,0,state,urban/rural,2023,All,2023
13,Nagaland,0.746415079,0.72212255,0.257756084,0.032545567,0.18480131,0.669998407,0.02536883,State+Urban+All,0,state,urban/rural,2022,All,2022
21,Odisha,0.516592681,0.474537104,0.073760681,0.081409536,0.313881248,0.287000716,0.106618136,State+Urban+All,1,state,urban/rural,2023,All,2023
21,Odisha,0.547909737,0.5131042,0.20458512,0.063524224,0.354729563,0.333720207,0.043385588,State+AllSectors+All,99,state,All,2022,All,2022
21,Odisha,0.584758103,0.554649711,0.211721838,0.051488627,0.336964756,0.386101067,0.043320745,State+AllSectors+All,99,state,All,2023,All,2023
21,Odisha,0.557443202,0.523686707,0.224334881,0.060555987,0.357967734,0.348392457,0.038195144,State+Urban+All,0,state,urban/rural,2022,All,2022
21,Odisha,0.4930785,0.452239603,0.073050134,0.082824327,0.337260365,0.244100556,0.088634767,State+Urban+All,1,state,urban/rural,2022,All,2022
21,Odisha,0.597264528,0.569348097,0.232818738,0.046740457,0.341390759,0.403315216,0.035496645,State+Urban+All,0,state,urban/rural,2023,All,2023
34,Puducherry,0.456221759,0.42223984,0.02687967,0.074485488,0.21683459,0.244386524,0.098404504,State+Urban+All,1,state,urban/rural,2022,All,2022
34,Puducherry,0.611039996,0.563445389,0.082051277,0.077891193,0.271448374,0.454147905,0.051563907,State+Urban+All,0,state,urban/rural,2022,All,2022
34,Puducherry,0.480637282,0.442719698,0.024376081,0.078890264,0.252861977,0.282335818,0.072816662,State+Urban+All,1,state,urban/rural,2023,All,2023
34,Puducherry,0.502951443,0.471793503,0.01844611,0.061950162,0.235068798,0.312290519,0.065032832,State+AllSectors+All,99,state,All,2023,All,2023
34,Puducherry,0.539301336,0.519154966,0.010208385,0.037356403,0.204870492,0.363824725,0.054640856,State+Urban+All,0,state,urban/rural,2023,All,2023
34,Puducherry,0.512405217,0.473483264,0.050705567,0.075959325,0.239706933,0.319050938,0.074671768,State+AllSectors+All,99,state,All,2022,All,2022
3,Punjab,0.524414718,0.478224248,0.085895821,0.088080063,0.303951889,0.264154345,0.135973588,State+AllSectors+All,99,state,All,2022,All,2022
3,Punjab,0.546482503,0.506041706,0.09019392,0.074001968,0.315627694,0.293397814,0.091334499,State+AllSectors+All,99,state,All,2023,All,2023
3,Punjab,0.522943974,0.486919075,0.064122394,0.068888672,0.29521817,0.237712264,0.100919455,State+Urban+All,1,state,urban/rural,2023,All,2023
3,Punjab,0.560910702,0.517763197,0.105222784,0.076924071,0.329786718,0.32634443,0.087203696,State+Urban+All,0,state,urban/rural,2023,All,2023
3,Punjab,0.518205225,0.476102054,0.068579279,0.08124809,0.266754955,0.251726598,0.117699966,State+Urban+All,1,state,urban/rural,2022,All,2022
3,Punjab,0.527904153,0.479416817,0.095559619,0.091848768,0.324450046,0.270956755,0.145265937,State+Urban+All,0,state,urban/rural,2022,All,2022
8,Rajasthan,0.479130685,0.428774983,0.071529619,0.105098061,0.320706576,0.220266357,0.133623376,State+Urban+All,1,state,urban/rural,2022,All,2022
8,Rajasthan,0.509737194,0.459658831,0.093461506,0.09824343,0.303002506,0.274549633,0.13485311,State+Urban+All,1,state,urban/rural,2023,All,2023
8,Rajasthan,0.584519744,0.546724319,0.28963998,0.064660713,0.296161681,0.423994571,0.029378237,State+Urban+All,0,state,urban/rural,2022,All,2022
8,Rajasthan,0.590051711,0.553061783,0.252408057,0.062689334,0.281545818,0.417198747,0.056577109,State+AllSectors+All,99,state,All,2023,All,2023
