statename,sector,Year,quint_label,group,dem,real_wage_23,sex_cat,youth_cat,cws_type,emp_type,sex_label,youth_lab,cws_label,emp_label
Andaman and Nicobar Island,All,2022,2,Youth,Youth,12515.84,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2022,2,Youth,Youth,14101.38,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2022,3,Youth,Youth,14416.61,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2022,3,Youth,Youth,18890.89,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2022,4,Youth,Youth,18512.87,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2022,4,Youth,Youth,29190.48,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2022,5,Youth,Youth,32805.99,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2022,5,Youth,Youth,74160.34,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,Total,Youth,Youth,12675.38,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,Total,Youth,Youth,18989.74,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,1,Youth,Youth,8895.47,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,1,Youth,Youth,9055.1,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,2,Youth,Youth,12206.21,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,2,Youth,Youth,14314.42,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,3,Youth,Youth,13078.08,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,3,Youth,Youth,18989.74,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,4,Youth,Youth,17388.61,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,4,Youth,Youth,29907.19,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2023,5,Youth,Youth,28130.33,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2023,5,Youth,Youth,66482.46,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,Total,CWSType,CWS Type,13016.1,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,Total,CWSType,CWS Type,16224.38,NA,NA,2,NA,NA,NA,Industry,NA
Andaman and Nicobar Island,All,2017,Total,CWSType,CWS Type,20680.98,NA,NA,3,NA,NA,NA,Services,NA
Andaman and Nicobar Island,All,2017,1,CWSType,CWS Type,8100.57,NA,NA,1,NA,NA,NA,Agriculture,NA
Andaman and Nicobar Island,All,2017,1,CWSType,CWS Type,11203.08,NA,NA,2,NA,NA,NA,Industry,NA
