,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
3959,69986.12,2022,State,All,All,5,state_quint,2022,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
3960,NA,2022,State,All,All,Total,state_quint,2022,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4033,17514.29,2022,State,urban/rural,All,Total,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4034,19940.39,2022,State,urban/rural,All,Total,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4423,8470.71,2022,State,urban/rural,All,1,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
4424,12965.37,2022,State,urban/rural,All,2,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
4425,17820.05,2022,State,urban/rural,All,3,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
4426,24508.24,2022,State,urban/rural,All,4,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
4427,67045.8,2022,State,urban/rural,All,5,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
4428,NA,2022,State,urban/rural,All,Total,state_sec_quint,2022,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4429,9386.88,2022,State,urban/rural,All,1,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
4430,15427.39,2022,State,urban/rural,All,2,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
4431,19940.39,2022,State,urban/rural,All,3,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
4432,31736.85,2022,State,urban/rural,All,4,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
4433,82279.41,2022,State,urban/rural,All,5,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
4434,NA,2022,State,urban/rural,All,Total,state_sec_quint,2022,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4501,17687.79,2023,State,All,All,Total,state_quint,2023,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4701,8694.3,2023,State,All,All,1,state_quint,2023,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
4702,13757.17,2023,State,All,All,2,state_quint,2023,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
4703,17687.79,2023,State,All,All,3,state_quint,2023,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
4704,27165.29,2023,State,All,All,4,state_quint,2023,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
4705,65056.74,2023,State,All,All,5,state_quint,2023,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
4706,NA,2023,State,All,All,Total,state_quint,2023,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4778,16422.58,2023,State,urban/rural,All,Total,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
4779,20343.68,2023,State,urban/rural,All,Total,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
5172,7607.39,2023,State,urban/rural,All,1,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
5173,13292.82,2023,State,urban/rural,All,2,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
5174,16979.57,2023,State,urban/rural,All,3,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
5175,24111.71,2023,State,urban/rural,All,4,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
5176,57918.71,2023,State,urban/rural,All,5,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
5177,NA,2023,State,urban/rural,All,Total,state_sec_quint,2023,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
5178,10061.22,2023,State,urban/rural,All,1,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
5179,15257.76,2023,State,urban/rural,All,2,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
5180,20581.29,2023,State,urban/rural,All,3,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
5181,34891.72,2023,State,urban/rural,All,4,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
5182,72195.13,2023,State,urban/rural,All,5,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
5183,NA,2023,State,urban/rural,All,Total,state_sec_quint,2023,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
5304,16236.03,2017,State,All,Sex,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
5305,14297.97,2017,State,All,Sex,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
5704,10412.88,2017,State,All,Sex,1,state_quint,2017,99,NA,Andaman and Nicobar Island,1,NA,Gender,1,NA,NA,NA,1,NA
5705,5728.35,2017,State,All,Sex,1,state_quint,2017,99,NA,Andaman and Nicobar Island,1,NA,Gender,2,NA,NA,NA,1,NA
5706,13205.65,2017,State,All,Sex,2,state_quint,2017,99,NA,Andaman and Nicobar Island,2,NA,Gender,1,NA,NA,NA,2,NA
5707,8322,2017,State,All,Sex,2,state_quint,2017,99,NA,Andaman and Nicobar Island,2,NA,Gender,2,NA,NA,NA,2,NA
5708,16434.56,2017,State,All,Sex,3,state_quint,2017,99,NA,Andaman and Nicobar Island,3,NA,Gender,1,NA,NA,NA,3,NA
5709,14297.97,2017,State,All,Sex,3,state_quint,2017,99,NA,Andaman and Nicobar Island,3,NA,Gender,2,NA,NA,NA,3,NA
5710,27040.63,2017,State,All,Sex,4,state_quint,2017,99,NA,Andaman and Nicobar Island,4,NA,Gender,1,NA,NA,NA,4,NA
5711,52426.48,2017,State,All,Sex,4,state_quint,2017,99,NA,Andaman and Nicobar Island,4,NA,Gender,2,NA,NA,NA,4,NA
5712,66290.58,2017,State,All,Sex,5,state_quint,2017,99,NA,Andaman and Nicobar Island,5,NA,Gender,1,NA,NA,NA,5,NA
5713,91175.71,2017,State,All,Sex,5,state_quint,2017,99,NA,Andaman and Nicobar Island,5,NA,Gender,2,NA,NA,NA,5,NA
5714,NA,2017,State,All,Sex,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
5715,NA,2017,State,All,Sex,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
5860,13886.69,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
5861,13723.78,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
5862,24817.17,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
5863,14320.88,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
6653,9450.66,2017,State,urban/rural,Sex,1,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,1,Gender,1,NA,NA,NA,1,NA
6654,6535.13,2017,State,urban/rural,Sex,1,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,1,Gender,2,NA,NA,NA,1,NA
6655,12150.85,2017,State,urban/rural,Sex,2,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,2,Gender,1,NA,NA,NA,2,NA
6656,8118.01,2017,State,urban/rural,Sex,2,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,2,Gender,2,NA,NA,NA,2,NA
6657,13886.69,2017,State,urban/rural,Sex,3,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,3,Gender,1,NA,NA,NA,3,NA
6658,14297.97,2017,State,urban/rural,Sex,3,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,3,Gender,2,NA,NA,NA,3,NA
6659,19524.16,2017,State,urban/rural,Sex,4,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,4,Gender,1,NA,NA,NA,4,NA
6660,52426.48,2017,State,urban/rural,Sex,4,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,4,Gender,2,NA,NA,NA,4,NA
6661,56102.9,2017,State,urban/rural,Sex,5,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,5,Gender,1,NA,NA,NA,5,NA
6662,91175.71,2017,State,urban/rural,Sex,5,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,5,Gender,2,NA,NA,NA,5,NA
6663,NA,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
6664,NA,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
6665,11377.45,2017,State,urban/rural,Sex,1,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,1,Gender,1,NA,NA,NA,1,NA
6666,5728.35,2017,State,urban/rural,Sex,1,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,1,Gender,2,NA,NA,NA,1,NA
6667,16606.65,2017,State,urban/rural,Sex,2,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,2,Gender,1,NA,NA,NA,2,NA
6668,9651.12,2017,State,urban/rural,Sex,2,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,2,Gender,2,NA,NA,NA,2,NA
6669,24966,2017,State,urban/rural,Sex,3,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,3,Gender,1,NA,NA,NA,3,NA
6670,14320.88,2017,State,urban/rural,Sex,3,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,3,Gender,2,NA,NA,NA,3,NA
6671,54289.89,2017,State,urban/rural,Sex,4,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,4,Gender,1,NA,NA,NA,4,NA
6672,54289.89,2017,State,urban/rural,Sex,4,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,4,Gender,2,NA,NA,NA,4,NA
6673,74958.37,2017,State,urban/rural,Sex,5,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,5,Gender,1,NA,NA,NA,5,NA
6674,90426.14,2017,State,urban/rural,Sex,5,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,5,Gender,2,NA,NA,NA,5,NA
6675,NA,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
6676,NA,2017,State,urban/rural,Sex,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
6809,20347,2018,State,All,Sex,Total,state_quint,2018,99,NA,Andaman and Nicobar Island,NA,NA,Gender,1,NA,NA,NA,NA,NA
6810,14332.56,2018,State,All,Sex,Total,state_quint,2018,99,NA,Andaman and Nicobar Island,NA,NA,Gender,2,NA,NA,NA,NA,NA
7209,11100.11,2018,State,All,Sex,1,state_quint,2018,99,NA,Andaman and Nicobar Island,1,NA,Gender,1,NA,NA,NA,1,NA
7210,5275.15,2018,State,All,Sex,1,state_quint,2018,99,NA,Andaman and Nicobar Island,1,NA,Gender,2,NA,NA,NA,1,NA
7211,14811.25,2018,State,All,Sex,2,state_quint,2018,99,NA,Andaman and Nicobar Island,2,NA,Gender,1,NA,NA,NA,2,NA
