,poor_215,poor_365,poor_685,perc_poor_215,perc_poor_365,perc_poor_685,welfareagg_cat1,welfareagg_cat2,welfareagg_cat3,welfareagg_cat4,welfareagg_cat5,year,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,educ_cat1,educ_cat2,educ_cat3,educ_cat4,educ_cat5,educ_cat6,gender_cat1,gender_cat2,hhsize_cat,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_land
60,0.259315943,0.832759607,0.984188961,25.9315943,83.2759607,97.8514516,0.422126174,0.351313263,0.151012406,0.055021949,0.020526193,2011,sectorstate,0,Chattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.320655643,0.810558338,0.978514516,32.0655643,81.0558338,98.4853994,0.501458108,0.25571081,0.127341852,0.085512169,0.029977037,2011,sectorstate,0,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.210136276,0.722703082,0.984853994,21.0136276,72.2703082,80.7007689,0.378574073,0.30252558,0.179974452,0.10829033,0.030635567,2011,sectorstate,0,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0,0.49476404,0.807007689,0,49.476404,99.5853249,0,0.355336368,0.176734418,0.248279184,0.21965006,2011,sectorstate,0,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.490309916,0.913236689,0.995853249,49.0309916,91.3236689,96.4999459,0.628068745,0.185353041,0.14294827,0.028400214,0.015229726,2011,sectorstate,0,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.120117044,0.682126349,0.964999459,12.0117044,68.2126349,94.9240064,0.251858801,0.336672395,0.225384384,0.131481215,0.054603204,2011,sectorstate,0,Maharastra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.044738135,0.501567273,0.949240064,4.4738135,50.1567273,94.0184868,0.12898767,0.257739663,0.311789811,0.219152182,0.082330644,2011,sectorstate,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.045303501,0.561721583,0.940184868,4.5303501,56.1721583,89.5406489,0.144896567,0.308626354,0.294133306,0.161469743,0.090874016,2011,sectorstate,0,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.044194387,0.324685112,0.895406489,4.4194387,32.4685112,67.8779713,0.055413865,0.264200747,0.114325799,0.403090984,0.162968606,2011,sectorstate,0,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0,0.042902555,0.678779713,0,4.2902555,80.6253418,0,0.038484354,0.178267002,0.292989403,0.49025926,2011,sectorstate,0,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.02557409,0.297126942,0.806253418,2.557409,29.7126942,90.5277797,0.065386951,0.154915065,0.226977095,0.293373346,0.259347558,2011,sectorstate,0,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,0.067014946,0.451301476,0.905277797,6.7014946,45.1301476,92.2463346,0.145117402,0.218785748,0.277696192,0.228619635,0.129781023,2011,sectorstate,0,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.002638753,0.323577191,0.922463346,0.2638753,32.3577191,72.2522364,0.039797056,0.155578747,0.220567837,0.414035827,0.170020521,2011,sectorstate,0,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0,0.083062514,0.722522364,0,8.3062514,78.4433254,0.004800545,0.036256716,0.170967698,0.413623512,0.374351531,2011,sectorstate,0,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.023794603,0.267025937,0.784433254,2.3794603,26.7025937,69.6217641,0.073858112,0.150669202,0.197380975,0.292964071,0.28512764,2011,sectorstate,1,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.017519535,0.190464181,0.696217641,1.7519535,19.0464181,81.9672756,0.043132558,0.101237535,0.17409128,0.268332005,0.413206637,2011,sectorstate,1,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.071678672,0.370098751,0.819672756,7.1678672,37.0098751,81.0458749,0.115947485,0.182402492,0.220220625,0.226307943,0.25512144,2011,sectorstate,1,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,0.089677173,0.383910862,0.810458749,8.9677173,38.3910862,86.105367,0.163731739,0.179230019,0.172516823,0.182625324,0.301896095,2011,sectorstate,1,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0.079589557,0.447040297,0.86105367,7.9589557,44.7040297,73.998353,0.152061135,0.215301126,0.205697179,0.243051678,0.183888897,2011,sectorstate,1,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.064252555,0.286028259,0.73998353,6.4252555,28.6028259,76.5423146,0.099632286,0.135631293,0.186513096,0.249971941,0.328251362,2011,sectorstate,1,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.043307699,0.332623168,0.765423146,4.3307699,33.2623168,85.1407063,0.115879394,0.14899911,0.228916302,0.214462429,0.291742742,2011,sectorstate,1,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.079143666,0.435924282,0.851407063,7.9143666,43.5924282,88.349833,0.152646363,0.20677413,0.224071503,0.234389976,0.182118043,2011,sectorstate,1,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.22303991,0.621275205,0.88349833,22.303991,62.1275205,95.7778382,0.355340302,0.205548361,0.150698602,0.146985561,0.141427159,2011,sectorstate,1,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.247512068,0.691558652,0.957778382,24.7512068,69.1558652,93.3001076,0.404910058,0.250713468,0.138965309,0.133671135,0.071740039,2011,sectorstate,1,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.047033445,0.403013833,0.933001076,4.7033445,40.3013833,78.3227536,0.093828499,0.211768821,0.26057598,0.2596412,0.174185514,2011,sectorstate,1,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
