Poor,Urban,State,Education,Attendence,Child Mortality,Nutrition,Electricity,Toilet,Water,House,Fuel,Asset,year
1,1,Bihar,0.59,0.26,0.08,0.68,0.37,0.83,0.04,0.76,0.85,0.5,5
1,1,Chandigarh,0.64,0.29,0.14,0.73,0.13,0.83,0.16,0.49,0.53,0.37,5
1,1,Chhattisgarh,0.54,0.13,0.11,0.66,0.04,0.8,0.2,0.72,0.81,0.33,5
1,1,Dadra & Nagar Haveli,0.49,0.39,0.07,0.65,0,0.92,0.53,0.52,0.35,0.22,5
1,1,Daman & Diu,0.57,0.44,0.11,0.69,0,0.74,0.25,0.23,0.16,0.56,5
1,1,Delhi,0.7,0.21,0.24,0.68,0.03,0.76,0.32,0.33,0.13,0.43,5
1,1,Goa,0.69,0.1,0.14,0.73,0,0.7,0.03,0.35,0.52,0.35,5
1,1,Gujarat,0.58,0.31,0.11,0.72,0.14,0.65,0.17,0.3,0.65,0.41,5
1,1,Himachal Pradesh,0.52,0.17,0.24,0.73,0.08,0.79,0.51,0.54,0.28,0.47,5
1,1,Haryana,0.67,0.24,0.14,0.75,0.03,0.62,0.21,0.46,0.51,0.22,5
1,1,Jammu and Kashmir,0.6,0.16,0.13,0.68,0.05,0.79,0.16,0.53,0.49,0.38,5
1,1,Jharkhand,0.47,0.13,0.06,0.71,0.13,0.87,0.43,0.59,0.92,0.38,5
1,1,Karnataka,0.53,0.17,0.07,0.64,0.1,0.79,0.19,0.64,0.7,0.4,5
1,1,Kerala,0.56,0.17,0.02,0.53,0.16,0.14,0.38,0.51,0.86,0.52,5
1,1,Lakshadweep,0,0.33,0.33,1,0,0.16,0.33,0.33,0.49,0.16,5
1,1,Madhya Pradesh,0.55,0.19,0.11,0.68,0.11,0.8,0.3,0.7,0.75,0.34,5
1,1,Maharashtra,0.54,0.19,0.12,0.74,0.19,0.84,0.16,0.43,0.43,0.44,5
1,1,Manipur,0.27,0.06,0.06,0.71,0.15,0.8,0.74,0.94,0.78,0.27,5
1,1,Meghalaya,0.47,0.13,0.06,0.67,0.09,0.6,0.34,0.7,0.82,0.42,5
1,1,Mizoram,0.65,0.17,0.15,0.59,0.1,0.46,0.15,0.57,0.49,0.48,5
1,1,Nagaland,0.46,0.13,0.05,0.64,0.03,0.62,0.46,0.95,0.77,0.45,5
1,1,Odisha,0.55,0.16,0.05,0.62,0.3,0.91,0.29,0.75,0.9,0.44,5
1,1,Pondicherry,0.69,0.01,0.11,0.56,0.09,0.85,0.22,0.62,0.59,0.46,5
1,1,Punjab,0.77,0.34,0.13,0.64,0.09,0.56,0.06,0.45,0.56,0.25,5
1,1,Rajasthan,0.64,0.27,0.1,0.69,0.1,0.72,0.31,0.37,0.66,0.36,5
1,1,Sikkim,0.87,0.09,0.04,0.65,0.12,0.61,0,0.48,0.24,0.28,5
1,1,Tamil Nadu,0.59,0.07,0.1,0.55,0.09,0.87,0.25,0.6,0.63,0.37,5
1,1,Telangana,0.76,0.11,0.09,0.53,0.09,0.87,0.32,0.41,0.56,0.46,5
1,1,Tripura,0.53,0.01,0.02,0.69,0.07,0.69,0.12,0.93,0.8,0.52,5
1,1,Uttar Pradesh,0.65,0.36,0.12,0.64,0.22,0.67,0.1,0.66,0.64,0.34,5
1,1,Uttarakhand,0.76,0.3,0.17,0.71,0.05,0.63,0.05,0.39,0.65,0.32,5
1,1,West Bengal,0.61,0.14,0.03,0.64,0.15,0.8,0.25,0.78,0.88,0.44,5
0,0,India,0.06,0.01,0.01,0.18,0.07,0.48,0.13,0.43,0.63,0.1,5
0,1,India,0.05,0.01,0.01,0.18,0.01,0.25,0.1,0.12,0.12,0.05,5
1,0,India,0.52,0.14,0.06,0.64,0.33,0.91,0.23,0.87,0.96,0.43,5
1,1,India,0.6,0.22,0.1,0.66,0.16,0.77,0.2,0.61,0.69,0.39,5
0,99,India,0.05,0.01,0.01,0.18,0.05,0.38,0.12,0.29,0.42,0.08,5
1,99,India,0.53,0.15,0.07,0.65,0.32,0.89,0.23,0.85,0.94,0.43,5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,, ,,,,,,,,,,,
