staten,state,unemp_cws,lf_cws,emp_cws,neet,unpaid_emp,salaried,casual,self_emp,agri_cws,ind_cws,services_cws,lfpr_female,unemp_female,type,urban,level,area,year,dem,yr
13,Nagaland,0.061951023,0.753657281,0.706967413,0.057358865,0.124912485,0.243623242,0.045927968,0.710448802,0.550628781,0.100980349,0.348390877,0.658738673,0.061824817,State+Urban+All,0,state,urban/rural,2023,All,2023
13,Nagaland,0.076088704,0.717847824,0.663227737,0.052691702,0.095523402,0.290023178,0.0534079,0.656568885,0.454155684,0.108889066,0.436955243,0.615405738,0.076309092,State+AllSectors+All,99,state,All,2023,All,2023
14,Manipur,0.048119999,0.593177915,0.564634204,0.036285833,0.062141981,0.193865225,0.046204254,0.759930491,0.511732876,0.210806906,0.277460217,0.477174699,0.047846511,State+Urban+All,0,state,urban/rural,2023,All,2023
14,Manipur,0.045019507,0.514472902,0.49131161,0.059001386,0.045705676,0.222574547,0.046559118,0.730866313,0.435921162,0.239847556,0.324231297,0.302001119,0.050719742,State+Urban+All,0,state,urban/rural,2022,All,2022
14,Manipur,0.047415063,0.510890186,0.486666322,0.0535645,0.040582821,0.248785406,0.053322781,0.697891831,0.357301146,0.26173088,0.380967975,0.313618302,0.046017244,State+AllSectors+All,99,state,All,2022,All,2022
14,Manipur,0.053522203,0.501978397,0.475111395,0.038003236,0.027839979,0.316206723,0.070720717,0.613072574,0.155069664,0.318020582,0.526909769,0.342469335,0.035718724,State+Urban+All,1,state,urban/rural,2022,All,2022
14,Manipur,0.071212657,0.564751446,0.524533987,0.034106914,0.037139997,0.30911544,0.055723332,0.635161221,0.196710363,0.291986823,0.511302829,0.449388683,0.087755702,State+Urban+All,1,state,urban/rural,2023,All,2023
14,Manipur,0.05470024,0.584790409,0.552802205,0.035699818,0.054764885,0.226132065,0.04886933,0.724998593,0.423535377,0.233535007,0.342929602,0.468896121,0.059242412,State+AllSectors+All,99,state,All,2023,All,2023
15,Mizoram,0.035076004,0.536098897,0.517294705,0.012659717,0.059722595,0.355558485,0.056516685,0.587924838,0.204051256,0.136552721,0.659396052,0.420180768,0.04867116,State+Urban+All,1,state,urban/rural,2022,All,2022
15,Mizoram,0.011593265,0.588115275,0.5812971,0.022375509,0.136374846,0.185641319,0.043478824,0.770879865,0.611788034,0.08846128,0.299750686,0.47898072,0.014555641,State+Urban+All,0,state,urban/rural,2022,All,2022
