,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
117,0.192317724,0.0540528,2019,5,National,All,Age,allindia,99,India,NA,NA,NA,NA,NA,NA
118,0.392735571,0.133034199,2019,5,National,urban/rural,Age,indiasector,0,India,15 to 29,NA,NA,NA,NA,NA
119,0.237404674,0.077314787,2019,5,National,urban/rural,Age,indiasector,0,India,30 to 45,NA,NA,NA,NA,NA
120,0.175304502,0.03635098,2019,5,National,urban/rural,Age,indiasector,0,India,46 to 64,NA,NA,NA,NA,NA
121,0.177868441,0.030030783,2019,5,National,urban/rural,Age,indiasector,0,India,65+,NA,NA,NA,NA,NA
122,0.260678262,0.075358853,2019,5,National,urban/rural,Age,indiasector,0,India,NA,NA,NA,NA,NA,NA
123,0.135139152,0.034839515,2019,5,National,urban/rural,Age,indiasector,1,India,15 to 29,NA,NA,NA,NA,NA
124,0.071652867,0.016950415,2019,5,National,urban/rural,Age,indiasector,1,India,30 to 45,NA,NA,NA,NA,NA
125,0.040586699,0.006317971,2019,5,National,urban/rural,Age,indiasector,1,India,46 to 64,NA,NA,NA,NA,NA
126,0.038975131,0.005075066,2019,5,National,urban/rural,Age,indiasector,1,India,65+,NA,NA,NA,NA,NA
127,0.027937269,0.002820052,2019,5,National,urban/rural,Age,indiasector,1,India,NA,NA,NA,NA,NA,NA
128,0.090795733,0,2019,5,State,All,Age,state,99,Andaman & Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
129,0.0312865,0.002958208,2019,5,State,All,Age,state,99,Andaman & Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
130,0.033837058,0.005619501,2019,5,State,All,Age,state,99,Andaman & Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
131,0.04101282,0.006476791,2019,5,State,All,Age,state,99,Andaman & Nicobar Islands,65+,NA,NA,NA,NA,NA
132,0,0,2019,5,State,All,Age,state,99,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
133,0.126709685,0.012416244,2019,5,State,All,Age,state,99,Andhra Pradesh,15 to 29,NA,NA,NA,NA,NA
134,0.068426587,0.011179163,2019,5,State,All,Age,state,99,Andhra Pradesh,30 to 45,NA,NA,NA,NA,NA
135,0.065773472,0.009182941,2019,5,State,All,Age,state,99,Andhra Pradesh,46 to 64,NA,NA,NA,NA,NA
136,0.086335152,0.00560438,2019,5,State,All,Age,state,99,Andhra Pradesh,65+,NA,NA,NA,NA,NA
137,0,0,2019,5,State,All,Age,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
138,0.152528167,0.043370247,2019,5,State,All,Age,state,99,Arunachal Pradesh,15 to 29,NA,NA,NA,NA,NA
