,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
3683,1,0.815126479,0.119373776,0.04439557,2011,State,urban/rural,All Households,sector_state,0,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3684,0,0.656513274,0.318860143,0.00480154,2011,State,urban/rural,All Households,sector_state,0,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3685,1,0.927313864,0.046703186,0.017592272,2011,State,urban/rural,All Households,sector_state,0,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3686,0,0.465975463,0.169839144,0.304295868,2011,State,urban/rural,All Households,sector_state,0,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3687,1,0.328326851,0.037995134,0.610819519,2011,State,urban/rural,All Households,sector_state,0,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3688,0,0.551351428,0.31442374,0.092615768,2011,State,urban/rural,All Households,sector_state,0,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3689,1,0.760756493,0.08402697,0.146711186,2011,State,urban/rural,All Households,sector_state,0,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3690,0,0.634612858,0.193080053,0.098114394,2011,State,urban/rural,All Households,sector_state,0,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3691,1,0.721638739,0.098727204,0.164943516,2011,State,urban/rural,All Households,sector_state,0,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3692,0,0.57394439,0.146115109,0.221766368,2011,State,urban/rural,All Households,sector_state,0,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3693,1,0.394135147,0.048132166,0.532391548,2011,State,urban/rural,All Households,sector_state,0,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3694,0,0.522741973,0.140688226,0.232431144,2011,State,urban/rural,All Households,sector_state,0,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
