State,Variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All States/UT,REV_NTAX_II_C_SS_FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.16,47.46,63.31,9.83,55.07,67.05,53.66,88.91,113.41,159.89,199.08544,284.6181133,193.3656316,151.8507349,220.1601689,196.0295236,197.5263369,205.1968656,453.7222393,522.7116,322.1937
All States/UT,REV_NTAX_II_C_SS_WS,0.12,0.0,0.0,0.0,0.0,146.09,171.32,193.81,252.48,271.98,300.36,330.3,370.3,403.5,421.43,404.48,435.5,499.2,559.17,665.04,726.9,645.65,735.85,716.44,738.62534,2200.86652,1180.028408,1491.58457,1608.43835,1730.46435,1770.582691,1546.01485,1356.132592,2734.4131,1829.3961
All States/UT,REV_NTAX_II_C_SS_H,34.97,44.62,51.26,58.56,56.4,61.18,59.75,129.55,113.78,112.79,117.04,127.84,216.06,265.61,139.61,147.1,182.66,185.54,386.16,195.69,253.12,243.45,442.89,397.14,373.36886,2046.872592,1789.544693,524.71282,759.3542152,869.9929934,588.784718,609.4736897,960.4693931,2339.5844,2679.4031
All States/UT,REV_NTAX_II_C_SS_UD,14.83,47.9,27.5,28.01,25.78,89.6,101.83,170.66,86.59,110.03,122.03,96.11,129.48,441.74,450.71,881.52,2833.32,3158.86,1599.14,1273.02,2284.24,2461.84,2747.7,3088.05,3740.3859,2710.727198,4068.714128,4268.072771,5884.694372,5992.035243,4232.875589,8429.242566,5846.193179,6846.0664,8346.535
All States/UT,REV_NTAX_II_C_SS_LE,33.0,37.37,46.69,49.75,57.9,70.15,72.93,86.47,102.26,119.64,120.68,120.48,123.27,141.29,165.96,182.0,255.56,388.16,381.69,425.46,594.25,966.25,984.39,1142.44,1273.7665,1592.184866,1508.643968,1721.566841,1891.688954,2029.742245,1975.238545,2127.32482,3305.045079,2683.5916,3001.0738
All States/UT,REV_NTAX_II_C_SS_SW,16.36,74.9,109.74,68.84,74.49,86.16,114.62,177.21,196.28,203.42,176.37,208.53,168.9,190.89,156.94,149.24,197.01,200.11,240.01,269.08,265.44,396.73,734.29,712.25,971.10183,1280.098224,855.0151966,1407.966711,717.0495475,751.5325021,780.2332097,887.3691994,1270.149575,1236.6331,1629.3565
All States/UT,REV_NTAX_II_C_SS_O,113.17,162.67,145.62,168.94,200.54,72.06,92.86,108.95,175.11,210.8,337.24,388.77,301.49,225.7,137.31,175.09,208.71,232.82,251.86,438.31,457.46,373.76,392.13,580.32,650.88197,592.7096398,887.6220903,1054.770021,1053.18552,1416.735843,1244.484769,1993.003298,1063.88706,1145.4675,1426.3569
All States/UT,REV_NTAX_II_C_FS,0.12,0.23,0.83,0.59,0.21,0.19,0.88,0.78,4.39,0.22,0.82,0.15,0.53,0.5,0.89,0.76,0.55,0.22,1.81,0.27,0.32,0.43,0.19,0.27,0.2193,0.141,0.313643,0.2618,0.2211,2.4754,12.2079,19.1625,5.4584,20.9508,23.0596
All States/UT,REV_NTAX_II_C_ES,4300.97,4838.59,6147.53,6919.72,8031.3,8180.6,8666.29,8324.66,9383.17,12091.28,11462.8,12424.38,14371.85,16525.45,23000.86,21648.51,25189.74,29684.29,34555.41,39809.5,44567.11,51805.73,55777.78,61146.87,66632.041,70335.83898,77013.55065,95978.06469,107965.8923,95173.90893,94161.50521,154792.8744,170073.8391,195621.7599,233482.989
All States/UT,REV_NTAX_II_C_ES_CH,107.19,126.89,138.45,158.77,168.61,160.58,162.76,200.08,178.31,202.06,272.92,290.79,262.34,397.23,230.55,248.31,246.8,339.32,328.86,597.02,563.55,433.63,467.7,699.87,551.97665,725.654801,535.9991281,1254.291293,1371.785287,1176.376471,1157.565311,752.6335615,3337.992433,1592.2594,2526.9659
All States/UT,REV_NTAX_II_C_ES_AH,27.71,31.84,34.5,36.46,39.87,49.02,48.47,58.01,56.63,64.94,81.91,62.61,71.81,67.64,80.42,82.83,80.44,109.91,99.43,108.06,99.84,526.21,124.69,282.61,172.9573,206.7866742,189.6062168,270.5279021,265.3800148,315.5621436,288.8169608,226.0669368,318.0836077,315.0962,440.4488
All States/UT,REV_NTAX_II_C_ES_FI,16.29,20.1,18.7,25.44,28.89,26.82,33.03,37.06,37.67,41.2,67.32,42.36,54.08,64.76,57.6,71.58,73.0,82.58,126.72,95.6,113.48,102.55,123.65,123.37,173.60935,173.1021997,186.3449813,206.5687923,213.4662399,215.6751487,224.1349018,219.8128115,411.8242798,300.1487,343.0416
All States/UT,REV_NTAX_II_C_ES_FW,1136.63,1270.65,1271.97,1493.55,1639.94,1656.56,1594.02,1597.4,1433.04,2019.22,1486.43,1466.25,1921.67,1928.23,2205.77,2257.72,2260.95,2517.62,2926.65,3252.74,3370.5,3527.99,3598.41,4315.9,4319.9691,4678.956139,3963.10195,4226.056347,5575.443206,3841.117172,4678.966373,5472.681827,6991.270981,7153.6269,8903.7153
All States/UT,REV_NTAX_II_C_ES_PL,3.66,3.88,3.89,3.58,3.18,5.14,5.94,3.72,3.25,2.67,2.62,2.06,1.8,1.94,1.73,2.1,2.02,10.53,2.44,1.82,2.92,2.62,4.03,3.65,4.2676,3.8768,5.2304,2.2184,3.0566,2.0415,0.0315,1.3806,2.0309,5.0302,0.0292
All States/UT,REV_NTAX_II_C_ES_CO,76.61,105.28,154.3,116.83,148.54,133.5,154.57,159.02,168.56,170.25,197.58,215.46,247.28,228.5,235.67,249.66,276.78,314.78,324.28,378.51,369.5,431.32,437.23,470.57,423.41566,620.9043928,563.2500241,674.5613673,1494.089453,612.135804,588.3706889,638.4764797,744.8493671,948.0731,1355.2109
All States/UT,REV_NTAX_II_C_ES_OA,22.98,21.42,40.52,37.44,41.18,41.19,49.36,53.43,53.91,62.4,60.4,52.01,40.33,47.23,52.67,91.22,80.08,84.15,84.3,106.85,114.15,118.28,97.25,130.9,110.84662,288.3546959,125.4986506,138.7452086,269.1844321,98.9547182,106.4842709,180.8432973,194.5802384,219.148,252.6707
All States/UT,REV_NTAX_II_C_ES_MI,214.04,217.99,293.23,470.91,440.69,491.28,454.68,358.29,448.48,455.17,741.63,634.03,767.78,1040.8,1264.77,1198.56,1468.83,1865.11,2016.61,2392.38,2679.39,3849.84,3104.37,4319.47,4162.6283,6190.982171,5010.256806,6976.456698,5611.505286,5697.669392,6242.958135,7468.352108,6825.176388,12304.0154,13394.7468
All States/UT,REV_NTAX_II_C_ES_MII,39.28,53.17,101.09,79.1,96.23,110.87,102.79,93.58,99.9,95.51,77.95,86.96,102.85,125.94,143.06,169.42,176.21,204.49,215.55,570.6,637.91,452.93,910.7,917.07,736.53135,730.6497447,829.0875203,738.2170208,1485.87049,902.5022359,790.9971059,764.4422821,1017.839547,1147.1987,1278.4615
All States/UT,REV_NTAX_II_C_ES_PW,174.78,255.73,226.43,269.05,434.54,245.88,455.18,383.89,643.66,1372.0,741.07,772.5,961.07,1178.54,5146.59,2317.57,3816.54,4732.97,5451.62,6042.5,4557.01,5146.98,5212.16,6255.0,7777.7211,7045.1553,10182.7969,13337.3276,14965.82,9991.8177,9504.9267,12715.6962,12963.4728,16370.4441,23796.5828
All States/UT,REV_NTAX_II_C_ES_PE,207.66,194.07,383.76,252.39,257.79,254.91,243.82,301.98,304.23,322.27,371.19,456.85,574.92,725.03,892.79,1223.66,1394.61,1556.94,1438.68,1684.77,3256.3,5406.33,6659.61,7745.12,6270.9456,4013.529716,5433.799715,5112.352882,9526.01074,7126.216802,3375.4,6501.686418,8979.175216,8410.4559,9865.8823
All States/UT,REV_NTAX_II_C_ES_VI,87.74,60.18,52.6,55.27,97.07,75.63,64.27,81.52,68.57,69.26,80.55,69.04,95.8,72.48,97.03,85.21,139.42,123.08,102.34,118.32,164.75,152.07,173.59,198.84,222.01864,246.8114684,478.5180959,94.7928602,313.4556899,268.770595,253.7379375,209.139286,494.6495133,739.1027,629.304
All States/UT,REV_NTAX_II_C_ES_IN,1223.66,1536.73,2317.01,2508.93,3051.23,3567.16,3741.15,3150.41,3806.58,4542.26,4600.97,5194.55,6083.19,7216.43,8100.81,9753.41,11420.2,13080.44,16097.84,18371.43,22697.46,25837.85,29052.03,29224.98,34913.44,37880.51361,41147.65932,54804.74438,58716.18631,56287.3741,59187.03355,110352.2203,113909.5728,131510.5305,152145.7296
All States/UT,REV_NTAX_II_C_ES_PH,5.7,6.78,8.84,10.34,14.55,16.24,14.64,17.04,23.26,19.04,47.04,109.18,42.92,79.91,150.91,111.83,158.54,358.68,535.32,451.68,505.9,695.88,710.11,797.47,1044.1607,1234.709871,1241.789223,1277.756885,1473.073602,1645.570379,1467.064315,1521.212409,1690.635679,1861.3775,1932.7599
All States/UT,REV_NTAX_II_C_ES_RT,234.73,277.23,340.98,430.12,467.18,467.34,514.44,549.11,576.27,593.16,648.94,726.04,836.67,1037.72,737.61,759.89,774.91,821.59,809.36,864.16,967.55,1105.01,1285.69,1418.38,1513.1715,1578.020101,1639.306633,1592.268413,1528.37405,1382.2368,768.4936,1269.7871,2504.1186,3305.4427,3725.0754
All States/UT,REV_NTAX_II_C_ES_TM,8.36,17.54,13.04,14.6,14.96,16.94,21.69,20.01,17.21,38.31,18.7,20.29,34.99,25.83,85.53,97.57,110.9,102.81,148.94,40.63,62.51,74.85,69.05,51.76,54.133257,83.048019,178.8780116,121.6524738,184.5702762,368.1048913,54.9726422,75.6641634,109.5904232,178.4019,261.0555
