,,,,,Non-Development (General Services),EXP_CAP_I_2_ND,,,,,,,,,,,,,,,,
,,,,,Discharge of Internal Debt (1 to 8),EXP_CAP_II,,,,,,,,,,,,,,,,
,,,,,Market Loans,EXP_CAP_II_ML,,,,,,,,,,,,,,,,
,,,,,Loans from LIC,EXP_CAP_II_LIC,,,,,,,,,,,,,,,,
,,,,,Loans from National Bank for Agriculture and Rural Development,EXP_CAP_II_NABARD,,,,,,,,,,,,,,,,
,,,,,Loans from SBI and other Banks,EXP_CAP_II_SBI,,,,,,,,,,,,,,,,
,,,,,Loans from National Co-operative Development Corporation,EXP_CAP_II_NCDC,,,,,,,,,,,,,,,,
,,,,,WMA from RBI,EXP_CAP_II_WMA,,,,,,,,,,,,,,,,
,,,,,Special Securities issued to NSSF,EXP_CAP_II_SS_NSSF,,,,,,,,,,,,,,,,
,,,,,Others (including 106),EXP_CAP_II_OTH,,,,,,,,,,,,,,,,
,,,,,Land Compensation Bonds,EXP_CAP_II_OTH_LAND,,,,,,,,,,,,,,,,
