group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
state_sector_quint,2011,urban,Daman & Diu & D & N Haveli,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Daman & Diu & D & N Haveli,,,,,99,0.22,0.12,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Daman & Diu & D & N Haveli,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Daman & Diu & D & N Haveli,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Daman & Diu & D & N Haveli,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Daman & Diu & D & N Haveli,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Daman & Diu & D & N Haveli,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Daman & Diu & D & N Haveli,,,,,99,0.36,0.39,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Daman & Diu & D & N Haveli,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Daman & Diu & D & N Haveli,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Daman & Diu & D & N Haveli,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Daman & Diu & D & N Haveli,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Daman & Diu & D & N Haveli,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Delhi,,,,,99,0.17,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Delhi,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Delhi,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Delhi,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Delhi,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Delhi,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Delhi,,,,,99,0.14,0.03,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Delhi,1,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Delhi,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Delhi,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Delhi,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Delhi,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Delhi,,,,,99,0.14,0.03,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Delhi,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Delhi,,2,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Delhi,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Delhi,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Delhi,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
