poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,1,Urban,Tamil Nadu,2011,0.96024573,0.736933049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Tamil Nadu,2011,0.97866309,0.832334797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Tamil Nadu,2011,0.85953856,0.328647278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Tamil Nadu,2011,0.92936498,0.615535173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Tamil Nadu,2011,0.91069049,0.536026691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Tamil Nadu,2011,0.96081525,0.753844777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Telangana,2022,0.245,0,0.703,0.26,0.002,0.718,0.037,0.133,0.243,0.016,0.097,0,0,0,0,0.097,0.25,0.034,0.03,0.07,0.02
1,0,Rural,Telangana,2022,0.312,0,0.689,0.394,0.011,0.527,0.051,0.097,0.273,0.013,0.048,0,0,0,0,0.048,0.387,0.016,0.017,0.064,0.012
0,1,Urban,Telangana,2022,0.162,0,0.379,0.08,0.001,0.653,0.01,0.066,0.181,0.008,0.053,0,0,0,0,0.053,0.071,0.007,0.007,0.019,0.003
1,1,Urban,Telangana,2022,0.149,0,0.669,0.297,0,0.739,0.004,0.119,0.224,0.01,0.05,0,0,0,0,0.05,0.285,0.017,0.019,0.021,0
0,99,All,Telangana,2022,0.207,0,0.555,0.178,0.002,0.689,0.025,0.102,0.214,0.012,0.077,0,0,0,0,0.077,0.168,0.022,0.019,0.047,0.013
1,99,All,Telangana,2022,0.265,0,0.683,0.366,0.008,0.588,0.037,0.104,0.259,0.012,0.048,0,0,0,0,0.048,0.358,0.016,0.017,0.051,0.008
0,1,Urban,Telangana,2011,0.87822151,0.732947817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Telangana,2011,0.95028722,0.897452935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
