,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
191,8395.24,NA,2017,State,All,All,3,state_quint,2017,99,NA,Madhya Pradesh,3,NA,Total,NA,NA,NA,NA
192,11168.78,NA,2017,State,All,All,4,state_quint,2017,99,NA,Madhya Pradesh,4,NA,Total,NA,NA,NA,NA
193,21304.43,NA,2017,State,All,All,5,state_quint,2017,99,NA,Madhya Pradesh,5,NA,Total,NA,NA,NA,NA
194,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Madhya Pradesh,NA,NA,Total,NA,NA,NA,NA
195,4592.71,NA,2017,State,All,All,1,state_quint,2017,99,NA,Gujarat,1,NA,Total,NA,NA,NA,NA
196,8164.9,NA,2017,State,All,All,2,state_quint,2017,99,NA,Gujarat,2,NA,Total,NA,NA,NA,NA
197,12073.02,NA,2017,State,All,All,3,state_quint,2017,99,NA,Gujarat,3,NA,Total,NA,NA,NA,NA
198,17171.77,NA,2017,State,All,All,4,state_quint,2017,99,NA,Gujarat,4,NA,Total,NA,NA,NA,NA
199,34020.43,NA,2017,State,All,All,5,state_quint,2017,99,NA,Gujarat,5,NA,Total,NA,NA,NA,NA
200,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Gujarat,NA,NA,Total,NA,NA,NA,NA
201,8073.11,NA,2017,State,All,All,1,state_quint,2017,99,NA,Daman and Diu,1,NA,Total,NA,NA,NA,NA
202,11591.22,NA,2017,State,All,All,2,state_quint,2017,99,NA,Daman and Diu,2,NA,Total,NA,NA,NA,NA
203,14006.49,NA,2017,State,All,All,3,state_quint,2017,99,NA,Daman and Diu,3,NA,Total,NA,NA,NA,NA
204,17198.37,NA,2017,State,All,All,4,state_quint,2017,99,NA,Daman and Diu,4,NA,Total,NA,NA,NA,NA
205,30693.53,NA,2017,State,All,All,5,state_quint,2017,99,NA,Daman and Diu,5,NA,Total,NA,NA,NA,NA
206,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Daman and Diu,NA,NA,Total,NA,NA,NA,NA
207,3998.72,NA,2017,State,All,All,1,state_quint,2017,99,NA,Maharashtra,1,NA,Total,NA,NA,NA,NA
208,7863.97,NA,2017,State,All,All,2,state_quint,2017,99,NA,Maharashtra,2,NA,Total,NA,NA,NA,NA
209,11377.45,NA,2017,State,All,All,3,state_quint,2017,99,NA,Maharashtra,3,NA,Total,NA,NA,NA,NA
210,17066.18,NA,2017,State,All,All,4,state_quint,2017,99,NA,Maharashtra,4,NA,Total,NA,NA,NA,NA
211,37216.14,NA,2017,State,All,All,5,state_quint,2017,99,NA,Maharashtra,5,NA,Total,NA,NA,NA,NA
212,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Maharashtra,NA,NA,Total,NA,NA,NA,NA
213,3612.08,NA,2017,State,All,All,1,state_quint,2017,99,NA,Andhra Pradesh,1,NA,Total,NA,NA,NA,NA
214,6622.39,NA,2017,State,All,All,2,state_quint,2017,99,NA,Andhra Pradesh,2,NA,Total,NA,NA,NA,NA
215,9954.11,NA,2017,State,All,All,3,state_quint,2017,99,NA,Andhra Pradesh,3,NA,Total,NA,NA,NA,NA
216,13604.84,NA,2017,State,All,All,4,state_quint,2017,99,NA,Andhra Pradesh,4,NA,Total,NA,NA,NA,NA
217,23575.52,NA,2017,State,All,All,5,state_quint,2017,99,NA,Andhra Pradesh,5,NA,Total,NA,NA,NA,NA
218,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Andhra Pradesh,NA,NA,Total,NA,NA,NA,NA
219,4250.41,NA,2017,State,All,All,1,state_quint,2017,99,NA,Karnataka,1,NA,Total,NA,NA,NA,NA
220,7980.98,NA,2017,State,All,All,2,state_quint,2017,99,NA,Karnataka,2,NA,Total,NA,NA,NA,NA
221,11443.02,NA,2017,State,All,All,3,state_quint,2017,99,NA,Karnataka,3,NA,Total,NA,NA,NA,NA
