,X,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,urban,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
151,151,26489.01953,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Tripura,5,NA,Total,NA,NA,NA,NA
152,152,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Tripura,NA,NA,Total,NA,NA,NA,NA
153,153,5392.652344,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Meghalaya,1,NA,Total,NA,NA,NA,NA
154,154,8831.001953,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Meghalaya,2,NA,Total,NA,NA,NA,NA
155,155,11443.01563,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Meghalaya,3,NA,Total,NA,NA,NA,NA
156,156,14752.88672,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Meghalaya,4,NA,Total,NA,NA,NA,NA
157,157,28597.49805,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Meghalaya,5,NA,Total,NA,NA,NA,NA
158,158,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Meghalaya,NA,NA,Total,NA,NA,NA,NA
159,159,5403.574219,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Assam,1,NA,Total,NA,NA,NA,NA
160,160,8829.878906,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Assam,2,NA,Total,NA,NA,NA,NA
161,161,11285.81934,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Assam,3,NA,Total,NA,NA,NA,NA
162,162,14245.89551,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Assam,4,NA,Total,NA,NA,NA,NA
163,163,27236.01367,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Assam,5,NA,Total,NA,NA,NA,NA
164,164,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Assam,NA,NA,Total,NA,NA,NA,NA
165,165,2698.256348,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,West Bengal,1,NA,Total,NA,NA,NA,NA
166,166,5396.512695,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,West Bengal,2,NA,Total,NA,NA,NA,NA
167,167,7571.969727,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,West Bengal,3,NA,Total,NA,NA,NA,NA
168,168,10241.28027,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,West Bengal,4,NA,Total,NA,NA,NA,NA
169,169,17026.91406,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,West Bengal,5,NA,Total,NA,NA,NA,NA
170,170,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,West Bengal,NA,NA,Total,NA,NA,NA,NA
171,171,3301.913086,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Jharkhand,1,NA,Total,NA,NA,NA,NA
172,172,6268.958008,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Jharkhand,2,NA,Total,NA,NA,NA,NA
173,173,8003.10791,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Jharkhand,3,NA,Total,NA,NA,NA,NA
174,174,10507.2168,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Jharkhand,4,NA,Total,NA,NA,NA,NA
175,175,19698.56445,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Jharkhand,5,NA,Total,NA,NA,NA,NA
176,176,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Jharkhand,NA,NA,Total,NA,NA,NA,NA
177,177,3391.500244,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Odisha,1,NA,Total,NA,NA,NA,NA
178,178,5404.249512,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Odisha,2,NA,Total,NA,NA,NA,NA
179,179,7372.706543,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Odisha,3,NA,Total,NA,NA,NA,NA
180,180,10492.59277,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Odisha,4,NA,Total,NA,NA,NA,NA
181,181,19713.55664,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Odisha,5,NA,Total,NA,NA,NA,NA
182,182,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Odisha,NA,NA,Total,NA,NA,NA,NA
183,183,2761.512207,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Chhattisgarh,1,NA,Total,NA,NA,NA,NA
184,184,4731.544922,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Chhattisgarh,2,NA,Total,NA,NA,NA,NA
185,185,6755.312012,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Chhattisgarh,3,NA,Total,NA,NA,NA,NA
186,186,9926.608398,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Chhattisgarh,4,NA,Total,NA,NA,NA,NA
187,187,18740.23242,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Chhattisgarh,5,NA,Total,NA,NA,NA,NA
188,188,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Chhattisgarh,NA,NA,Total,NA,NA,NA,NA
189,189,3537.410156,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Madhya Pradesh,1,NA,Total,NA,NA,NA,NA
190,190,6082.396973,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Madhya Pradesh,2,NA,Total,NA,NA,NA,NA
191,191,8395.243164,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Madhya Pradesh,3,NA,Total,NA,NA,NA,NA
192,192,11168.78223,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Madhya Pradesh,4,NA,Total,NA,NA,NA,NA
193,193,21304.43164,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Madhya Pradesh,5,NA,Total,NA,NA,NA,NA
194,194,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Madhya Pradesh,NA,NA,Total,NA,NA,NA,NA
195,195,4592.706543,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Gujarat,1,NA,Total,NA,NA,NA,NA
196,196,8164.903809,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Gujarat,2,NA,Total,NA,NA,NA,NA
197,197,12073.0166,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Gujarat,3,NA,Total,NA,NA,NA,NA
198,198,17171.76758,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Gujarat,4,NA,Total,NA,NA,NA,NA
199,199,34020.43359,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Gujarat,5,NA,Total,NA,NA,NA,NA
200,200,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Gujarat,NA,NA,Total,NA,NA,NA,NA
201,201,8073.109863,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Daman & Diu,1,NA,Total,NA,NA,NA,NA
202,202,11591.2168,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Daman & Diu,2,NA,Total,NA,NA,NA,NA
203,203,14006.49414,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Daman & Diu,3,NA,Total,NA,NA,NA,NA
204,204,17198.36914,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Daman & Diu,4,NA,Total,NA,NA,NA,NA
