"","poor_420","inc_selfemp","inc_salaried","inc_casual","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land","inc_selfemp_agri","inc_selfemp_nonagri","inc_casual_agri","inc_casual_nonagri","inc_selfemp_urban","inc_casual_urban","inc_others"
"74",0,0.495796531438828,0.282418966293335,0.156263172626495,2022,"State","All","All Households","state",NA,"Telangana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1,0.582388520240784,0.14152392745018,0.242673948407173,2022,"State","All","All Households","state",NA,"Telangana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0,0.402177184820175,0.406644552946091,0.152724757790565,2022,"State","All","All Households","state",NA,"Ladakh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1,0.702483713626862,0.156747326254845,0.0806712135672569,2022,"State","All","All Households","state",NA,"Ladakh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",0,0.449147969484329,0.280234307050705,0.207108557224274,2022,"State","urban/rural","All Households","sector_state",0,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1,0.286728322505951,0.178546994924545,0.506426274776459,2022,"State","urban/rural","All Households","sector_state",0,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",0,0.509672999382019,0.225721210241318,0.159743681550026,2022,"State","urban/rural","All Households","sector_state",0,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1,0.458032786846161,0.151631623506546,0.334016293287277,2022,"State","urban/rural","All Households","sector_state",0,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0,0.43024343252182,0.173338010907173,0.331460565328598,2022,"State","urban/rural","All Households","sector_state",0,"Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1,0.207255616784096,0.207585051655769,0.57056850194931,2022,"State","urban/rural","All Households","sector_state",0,"Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
