,inc_selfemp,inc_salaried,inc_casual,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,age_cat1,age_cat2,age_cat3,age_cat4,owns_land
3063,0.559667408,0.330042511,0.110290058,2011,state,urban/rural,sector_state,0,A & N Island,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3064,0.440749735,0.418087721,0.128844023,2011,state,urban/rural,sector_state,0,A & N Island,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3065,0.419640213,0.468102813,0.091580451,2011,state,urban/rural,sector_state,0,A & N Island,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3066,0,0.560574055,0.19791542,2011,state,urban/rural,sector_state,0,A & N Island,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3067,0.411833733,0.059869315,0.528296947,2011,state,urban/rural,sector_state,0,Telangana,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3068,0.57440114,0.102790959,0.319490582,2011,state,urban/rural,sector_state,0,Telangana,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3069,0.503067434,0.080415905,0.343527347,2011,state,urban/rural,sector_state,0,Telangana,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3070,0.272899538,0.071152389,0.35264942,2011,state,urban/rural,sector_state,0,Telangana,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3071,0.291849136,0.227300078,0.480850786,2011,state,urban/rural,sector_state,0,Ladakh,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3072,0.455765456,0.275479764,0.143403456,2011,state,urban/rural,sector_state,0,Ladakh,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3073,0.690898478,0.175013021,0.046382751,2011,state,urban/rural,sector_state,0,Ladakh,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3074,0.664358675,0,0,2011,state,urban/rural,sector_state,0,Ladakh,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3075,0.486886531,0.367841154,0.113543622,2011,state,urban/rural,sector_state,1,Jammu & Kashmir,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
