"","nat_quint","welfare_agg21_sp","year","level","area","dem","SourceSheet","sector2","sec_quint","state","state_quint","state_sec_quint","age_cat","nat_age_quint","sec_age_quint","state_age_quint","state_sec_age_quint","edu_cat","nat_edu_quint","sec_edu_quint","state_edu_quint","state_sec_edu_quint","gen_cat","nat_gen_quint","sec_gen_quint","state_gen_quint","state_sec_gen_quint","hhsize_cat","nat_hhsize_quint","sec_hhsize_quint","state_hhsize_quint","state_sec_hhsize_quint","owns_dwelling","nat_dwel_quint","sec_dwel_quint","state_dwel_quint","state_sec_dwel_quint","owns_land","nat_land_quint","sec_land_quint","state_land_quint","state_sec_land_quint","quintile_overall"
"77",NA,2658.73018292362,2022,"State","All","All Households","state_quint",NA,NA,"Nagaland",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"78",NA,3309.53025124786,2022,"State","All","All Households","state_quint",NA,NA,"Nagaland",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"79",NA,4110.5259758814,2022,"State","All","All Households","state_quint",NA,NA,"Nagaland",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"80",NA,5607.29639754149,2022,"State","All","All Households","state_quint",NA,NA,"Nagaland",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"81",NA,1862.16932048183,2022,"State","All","All Households","state_quint",NA,NA,"Manipur",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"82",NA,2395.04210158319,2022,"State","All","All Households","state_quint",NA,NA,"Manipur",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"83",NA,2908.82964082886,2022,"State","All","All Households","state_quint",NA,NA,"Manipur",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"84",NA,3505.35048727229,2022,"State","All","All Households","state_quint",NA,NA,"Manipur",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"85",NA,4665.32269100947,2022,"State","All","All Households","state_quint",NA,NA,"Manipur",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"86",NA,2419.55556319933,2022,"State","All","All Households","state_quint",NA,NA,"Mizoram",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"87",NA,3169.6178754184,2022,"State","All","All Households","state_quint",NA,NA,"Mizoram",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
